gameId,TeamName,Date,H_A,ScoreDiff,RedCardDiff,timeSpent,Goal,Foul,Corner,Yellow,Red,ShotAttempt,Save,FreeKick,Offside,CornerPerMinute,DrawBet,ShotAttemptPerMinute,WinBet,WeightedWinProb
252449,Hoffenheim,2009-05-09,home,0,0,58,1,6,3,1,0,12,0,11,1,0.052,3.5,0.207,1.87,0.298
252449,FC Koln,2009-05-09,away,0,0,58,0,10,2,1,0,2,4,6,2,0.034,3.5,0.034,4.22,-0.298
252449,Hoffenheim,2009-05-09,home,1,0,7,1,0,1,0,0,3,0,3,0,0.143,3.5,0.429,1.87,0.298
252449,FC Koln,2009-05-09,away,-1,0,7,0,3,0,2,0,0,1,0,0,0.0,3.5,0.0,4.22,-0.298
252449,Hoffenheim,2009-05-09,home,2,-1,11,0,3,0,0,0,1,2,1,0,0.0,3.5,0.091,1.87,0.298
252449,Hoffenheim,2009-05-09,home,2,0,9,0,3,0,0,0,1,0,4,1,0.0,3.5,0.111,1.87,0.298
252449,FC Koln,2009-05-09,away,-2,1,11,0,1,1,0,1,2,0,3,1,0.091,3.5,0.182,4.22,-0.298
252449,FC Koln,2009-05-09,away,-2,0,9,0,4,1,0,0,4,0,3,0,0.111,3.5,0.444,4.22,-0.298
252450,Hannover,2009-05-09,home,0,0,56,1,9,4,2,0,6,1,5,1,0.071,3.35,0.107,1.98,0.245
252450,Eintracht Frankfurt,2009-05-09,away,0,0,56,0,5,4,1,0,10,1,10,0,0.071,3.35,0.179,3.85,-0.245
252450,Hannover,2009-05-09,home,1,0,31,0,10,0,0,0,3,2,4,0,0.0,3.35,0.097,1.98,0.245
252450,Eintracht Frankfurt,2009-05-09,away,-1,0,31,1,4,0,0,0,9,1,11,1,0.0,3.35,0.29,3.85,-0.245
252451,Hertha Berlin,2008-09-13,home,0,0,28,1,5,2,1,0,7,2,5,2,0.071,3.36,0.25,2.33,0.096
252451,Wolfsburg,2008-09-13,away,0,0,28,1,5,4,0,0,5,1,5,1,0.143,3.36,0.179,3.0,-0.096
252451,Hertha Berlin,2008-09-13,home,-1,0,54,1,11,2,1,0,6,1,10,4,0.037,3.36,0.111,2.33,0.096
252451,Hertha Berlin,2008-09-13,home,1,0,3,0,0,0,0,0,0,0,0,1,0.0,3.36,0.0,2.33,0.096
252451,Wolfsburg,2008-09-13,away,1,0,54,0,10,1,0,0,7,2,11,2,0.019,3.36,0.13,3.0,-0.096
252451,Wolfsburg,2008-09-13,away,-1,0,3,1,0,0,0,0,1,0,0,0,0.0,3.36,0.333,3.0,-0.096
252452,Hoffenheim,2009-04-24,home,0,0,40,0,9,11,0,0,10,0,5,0,0.275,3.39,0.25,2.24,0.128
252452,Hertha Berlin,2009-04-24,away,0,0,40,1,5,1,0,0,3,1,9,1,0.025,3.39,0.075,3.14,-0.128
252452,Hoffenheim,2009-04-24,home,-1,0,48,0,7,4,0,0,15,0,7,1,0.083,3.39,0.312,2.24,0.128
252452,Hertha Berlin,2009-04-24,away,1,0,48,0,7,1,1,0,6,3,7,0,0.021,3.39,0.125,3.14,-0.128
252453,Werder Bremen,2008-11-16,home,0,0,15,1,3,1,0,0,4,0,2,1,0.067,4.35,0.267,1.42,0.574
252453,FC Koln,2008-11-16,away,0,0,15,0,2,0,0,0,0,0,3,2,0.0,4.35,0.0,7.68,-0.574
252453,Werder Bremen,2008-11-16,home,1,0,35,2,8,3,1,0,4,1,11,1,0.086,4.35,0.114,1.42,0.574
252453,FC Koln,2008-11-16,away,-1,0,35,0,11,1,3,0,5,1,8,0,0.029,4.35,0.143,7.68,-0.574
252453,Werder Bremen,2008-11-16,home,2,0,37,0,7,2,0,0,10,0,6,1,0.054,4.35,0.27,1.42,0.574
252453,FC Koln,2008-11-16,away,-2,0,37,1,5,2,1,0,2,2,7,5,0.054,4.35,0.054,7.68,-0.574
252454,B. Monchengladbach,2009-03-20,home,0,0,29,0,5,5,0,0,6,2,7,0,0.172,3.4,0.207,1.99,0.237
252454,Bochum,2009-03-20,away,0,0,29,1,7,1,1,0,4,2,5,0,0.034,3.4,0.138,3.77,-0.237
252454,B. Monchengladbach,2009-03-20,home,-1,0,59,0,11,6,3,0,13,0,11,4,0.102,3.4,0.22,1.99,0.237
252454,Bochum,2009-03-20,away,1,0,59,0,10,5,2,0,3,1,12,2,0.085,3.4,0.051,3.77,-0.237
252455,Hamburger SV,2008-10-19,home,0,0,72,1,18,2,3,0,13,3,17,2,0.028,3.28,0.181,2.3,0.114
252455,Schalke,2008-10-19,away,0,0,72,0,16,3,2,0,7,4,18,1,0.042,3.28,0.097,3.12,-0.114
252455,Hamburger SV,2008-10-19,home,1,0,18,0,8,0,0,0,0,0,4,1,0.0,3.28,0.0,2.3,0.114
252455,Schalke,2008-10-19,away,-1,0,18,1,4,0,0,0,2,0,8,1,0.0,3.28,0.111,3.12,-0.114
252456,Karlsruher SC,2009-05-12,home,0,0,30,1,8,1,0,0,6,0,7,2,0.033,3.55,0.2,1.94,0.254
252456,Hannover,2009-05-12,away,0,0,30,1,6,0,0,0,2,1,8,0,0.0,3.55,0.067,3.82,-0.254
252456,Karlsruher SC,2009-05-12,home,-1,0,25,0,3,4,1,0,7,1,8,2,0.16,3.55,0.28,1.94,0.254
252456,Karlsruher SC,2009-05-12,home,1,0,21,1,5,2,2,0,4,2,4,0,0.095,3.55,0.19,1.94,0.254
252456,Hannover,2009-05-12,away,1,0,25,0,8,0,0,0,3,0,4,1,0.0,3.55,0.12,3.82,-0.254
252456,Hannover,2009-05-12,away,-1,0,21,1,4,1,0,0,5,0,6,2,0.048,3.55,0.238,3.82,-0.254
