"Date","HomeTeam","AwayTeam","HomeBet","DrawBet","AwayBet","Weighted.Win.Prob.Home","HomeTeam.espn","AwayTeam.espn"
"22 Feb 2014","Stuttgart","Hertha Berlin",2.76,3.32,2.56,-0.0283061594202898,"VfB Stuttgart","Hertha Berlin"
"21 Feb 2014","Schalke","Mainz",1.79,3.63,4.58,0.340318606523383,"Schalke 04","Mainz"
"16 Feb 2014","Hertha Berlin","Wolfsburg",2.29,3.4,3.09,0.113056627238168,"Hertha Berlin","VfL Wolfsburg"
"16 Feb 2014","Augsburg","Nurnberg",1.76,3.61,4.79,0.359413550958436,"FC Augsburg","Nurnberg"
"15 Feb 2014","Bayer Leverkusen","Schalke",2.2,3.4,3.27,0.148735056991938,"Bayer Leverkusen","Schalke 04"
"15 Feb 2014","Bayern Munich","Freiburg",1.08,10.9,28.75,0.891143317230274,"Bayern Munich","SC Freiburg"
"15 Feb 2014","Braunschweig","Hamburger SV",2.74,3.34,2.55,-0.0271933590954631,"TSV Eintracht Braunschweig","Hamburg SV"
"15 Feb 2014","Dortmund","Eintracht Frankfurt",1.24,6.24,10.94,0.715043934658253,"Borussia Dortmund","Eintracht Frankfurt"
"15 Feb 2014","Hoffenheim","Stuttgart",2.01,3.58,3.61,0.220504127561638,"TSG Hoffenheim","VfB Stuttgart"
"15 Feb 2014","Werder Bremen","B. Monchengladbach",3.59,3.48,2.05,-0.209253346015354,"Werder Bremen","Borussia Monchengladbach"
"14 Feb 2014","Mainz","Hannover",2.06,3.44,3.61,0.208428582954576,"Mainz","Hannover 96"
"09 Feb 2014","Schalke","Hannover",1.63,4.2,5.01,0.413896134112144,"Schalke 04","Hannover 96"
"09 Feb 2014","Stuttgart","Augsburg",2.49,3.34,2.83,0.0482495352434472,"VfB Stuttgart","FC Augsburg"
"08 Feb 2014","Hamburger SV","Hertha Berlin",2.57,3.42,2.69,0.0173578464698479,"Hamburg SV","Hertha Berlin"
"08 Feb 2014","Eintracht Frankfurt","Braunschweig",1.61,3.87,5.66,0.444439567192678,"Eintracht Frankfurt","TSV Eintracht Braunschweig"
"08 Feb 2014","Freiburg","Hoffenheim",2.95,3.5,2.33,-0.0902014985087656,"SC Freiburg","TSG Hoffenheim"
"08 Feb 2014","Nurnberg","Bayern Munich",12.85,6.36,1.22,-0.741851119474389,"Nurnberg","Bayern Munich"
"08 Feb 2014","Werder Bremen","Dortmund",7.97,5.2,1.35,-0.615270226311632,"Werder Bremen","Borussia Dortmund"
"08 Feb 2014","Wolfsburg","Mainz",1.8,3.64,4.46,0.331340308918784,"VfL Wolfsburg","Mainz"
"07 Feb 2014","B. Monchengladbach","Bayer Leverkusen",2.71,3.36,2.57,-0.0201013683288584,"Borussia Monchengladbach","Bayer Leverkusen"
"02 Feb 2014","Bayern Munich","Eintracht Frankfurt",1.11,9.93,19.69,0.85011369927571,"Bayern Munich","Eintracht Frankfurt"
"02 Feb 2014","Hertha Berlin","Nurnberg",1.87,3.54,4.22,0.29779253364422,"Hertha Berlin","Nurnberg"
"01 Feb 2014","Hannover","B. Monchengladbach",2.92,3.4,2.38,-0.0777023138022332,"Hannover 96","Borussia Monchengladbach"
"01 Feb 2014","Augsburg","Werder Bremen",1.59,4.04,5.54,0.448425402447608,"FC Augsburg","Werder Bremen"
"01 Feb 2014","Bayer Leverkusen","Stuttgart",1.49,4.33,6.69,0.521664108506135,"Bayer Leverkusen","VfB Stuttgart"
"01 Feb 2014","Hoffenheim","Hamburger SV",1.88,3.72,3.95,0.278750336654996,"TSG Hoffenheim","Hamburg SV"
"01 Feb 2014","Mainz","Freiburg",1.79,3.62,4.62,0.342209001426878,"Mainz","SC Freiburg"
"01 Feb 2014","Schalke","Wolfsburg",1.97,3.62,3.7,0.237343942927699,"Schalke 04","VfL Wolfsburg"
"31 Jan 2014","Braunschweig","Dortmund",10.91,5.89,1.26,-0.701991765236495,"TSV Eintracht Braunschweig","Borussia Dortmund"
"29 Jan 2014","Stuttgart","Bayern Munich",10.39,6.07,1.26,-0.697404402890447,"VfB Stuttgart","Bayern Munich"
"26 Jan 2014","Hamburger SV","Schalke",2.66,3.52,2.53,-0.0193170673719874,"Hamburg SV","Schalke 04"
"26 Jan 2014","Werder Bremen","Braunschweig",1.82,3.59,4.42,0.323206205559147,"Werder Bremen","TSV Eintracht Braunschweig"
"25 Jan 2014","Eintracht Frankfurt","Hertha Berlin",2.41,3.34,2.94,0.0748017049143309,"Eintracht Frankfurt","Hertha Berlin"
"25 Jan 2014","Dortmund","Augsburg",1.34,5.16,8.78,0.632373440315507,"Borussia Dortmund","FC Augsburg"
"25 Jan 2014","Freiburg","Bayer Leverkusen",4.86,3.84,1.7,-0.382473977245219,"SC Freiburg","Bayer Leverkusen"
"25 Jan 2014","Nurnberg","Hoffenheim",2.46,3.4,2.83,0.0531471745812864,"Nurnberg","TSG Hoffenheim"
"25 Jan 2014","Stuttgart","Mainz",2.15,3.4,3.41,0.171861147104958,"VfB Stuttgart","Mainz"
"25 Jan 2014","Wolfsburg","Hannover",1.58,4.13,5.68,0.456855054376894,"VfL Wolfsburg","Hannover 96"
"24 Jan 2014","B. Monchengladbach","Bayern Munich",6.41,4.49,1.48,-0.519669435426066,"Borussia Monchengladbach","Bayern Munich"
"22 Dec 2013","B. Monchengladbach","Wolfsburg",2.21,3.39,3.25,0.144796380090498,"Borussia Monchengladbach","VfL Wolfsburg"
"21 Dec 2013","Nurnberg","Schalke",3.02,3.42,2.33,-0.0980587215416536,"Nurnberg","Schalke 04"
"21 Dec 2013","Braunschweig","Hoffenheim",3.96,3.62,1.91,-0.271034956898831,"TSV Eintracht Braunschweig","TSG Hoffenheim"
"21 Dec 2013","Dortmund","Hertha Berlin",1.28,5.73,10.07,0.681945134061569,"Borussia Dortmund","Hertha Berlin"
"21 Dec 2013","Freiburg","Hannover",2.54,3.3,2.81,0.0378289012805783,"SC Freiburg","Hannover 96"
"21 Dec 2013","Hamburger SV","Mainz",1.99,3.55,3.69,0.23150985278697,"Hamburg SV","Mainz"
"21 Dec 2013","Werder Bremen","Bayer Leverkusen",4.81,3.94,1.69,-0.383815768431153,"Werder Bremen","Bayer Leverkusen"
"20 Dec 2013","Eintracht Frankfurt","Augsburg",2.27,3.39,3.07,0.114795735338432,"Eintracht Frankfurt","FC Augsburg"
"15 Dec 2013","Bayer Leverkusen","Eintracht Frankfurt",1.52,4.23,6.29,0.498912224918417,"Bayer Leverkusen","Eintracht Frankfurt"
"15 Dec 2013","Schalke","Freiburg",1.41,4.64,7.38,0.573718503142478,"Schalke 04","SC Freiburg"
"14 Dec 2013","Wolfsburg","Stuttgart",1.73,3.77,4.77,0.368391076210904,"VfL Wolfsburg","VfB Stuttgart"
"14 Dec 2013","Augsburg","Braunschweig",1.5,4.12,6.95,0.522781774580336,"FC Augsburg","TSV Eintracht Braunschweig"
"14 Dec 2013","Bayern Munich","Hamburger SV",1.1,10.14,23,0.865612648221344,"Bayern Munich","Hamburg SV"
"14 Dec 2013","Hannover","Nurnberg",1.96,3.53,3.8,0.247046186895811,"Hannover 96","Nurnberg"
"14 Dec 2013","Hoffenheim","Dortmund",4.48,4.04,1.71,-0.361581035923141,"TSG Hoffenheim","Borussia Dortmund"
"14 Dec 2013","Mainz","B. Monchengladbach",2.68,3.36,2.6,-0.0114810562571757,"Mainz","Borussia Monchengladbach"
"13 Dec 2013","Hertha Berlin","Werder Bremen",1.6,4.03,5.51,0.443511796733212,"Hertha Berlin","Werder Bremen"
"08 Dec 2013","Braunschweig","Hertha Berlin",3.59,3.35,2.09,-0.199917367488105,"TSV Eintracht Braunschweig","Hertha Berlin"
"08 Dec 2013","Freiburg","Wolfsburg",3.5,3.37,2.1,-0.19047619047619,"SC Freiburg","VfL Wolfsburg"
"07 Dec 2013","Dortmund","Bayer Leverkusen",1.53,4.33,5.84,0.482361894529501,"Borussia Dortmund","Bayer Leverkusen"
"07 Dec 2013","B. Monchengladbach","Schalke",2.33,3.47,2.96,0.0913467115183854,"Borussia Monchengladbach","Schalke 04"
"07 Dec 2013","Eintracht Frankfurt","Hoffenheim",2.18,3.57,3.16,0.142259900127744,"Eintracht Frankfurt","TSG Hoffenheim"
"07 Dec 2013","Hamburger SV","Augsburg",2.13,3.5,3.34,0.170082370470327,"Hamburg SV","FC Augsburg"
"07 Dec 2013","Stuttgart","Hannover",1.98,3.6,3.67,0.232570941017808,"VfB Stuttgart","Hannover 96"
"07 Dec 2013","Werder Bremen","Bayern Munich",12.83,6.48,1.22,-0.741729808466325,"Werder Bremen","Bayern Munich"
"06 Dec 2013","Nurnberg","Mainz",2.45,3.3,2.91,0.0645206536222736,"Nurnberg","Mainz"
"01 Dec 2013","B. Monchengladbach","Freiburg",1.42,4.57,7.53,0.571423227278679,"Borussia Monchengladbach","SC Freiburg"
"01 Dec 2013","Hannover","Eintracht Frankfurt",2.37,3.45,2.92,0.0794751748453846,"Hannover 96","Eintracht Frankfurt"
"30 Nov 2013","Schalke","Stuttgart",1.77,3.81,4.28,0.331326891599345,"Schalke 04","VfB Stuttgart"
"30 Nov 2013","Bayer Leverkusen","Nurnberg",1.45,4.58,6.75,0.541507024265645,"Bayer Leverkusen","Nurnberg"
"30 Nov 2013","Bayern Munich","Braunschweig",1.06,12.48,38.3,0.917286565840682,"Bayern Munich","TSV Eintracht Braunschweig"
"30 Nov 2013","Hertha Berlin","Augsburg",2.01,3.43,3.76,0.231554991002435,"Hertha Berlin","FC Augsburg"
"30 Nov 2013","Hoffenheim","Werder Bremen",1.73,3.82,4.68,0.364359468405711,"TSG Hoffenheim","Werder Bremen"
"30 Nov 2013","Mainz","Dortmund",5.26,4.3,1.58,-0.442797323963999,"Mainz","Borussia Dortmund"
"29 Nov 2013","Wolfsburg","Hamburger SV",1.81,3.79,4.27,0.318294150374578,"VfL Wolfsburg","Hamburg SV"
"24 Nov 2013","Werder Bremen","Mainz",2.57,3.34,2.72,0.0214579995422294,"Werder Bremen","Mainz"
"24 Nov 2013","Hamburger SV","Hannover",2.04,3.51,3.58,0.210866469492825,"Hamburg SV","Hannover 96"
"23 Nov 2013","Dortmund","Bayern Munich",3.24,3.56,2.16,-0.154320987654321,"Borussia Dortmund","Bayern Munich"
"23 Nov 2013","Augsburg","Hoffenheim",2.14,3.49,3.31,0.165174916000791,"FC Augsburg","TSG Hoffenheim"
"23 Nov 2013","Braunschweig","Freiburg",2.25,3.31,3.24,0.135802469135802,"TSV Eintracht Braunschweig","SC Freiburg"
"23 Nov 2013","Eintracht Frankfurt","Schalke",2.77,3.44,2.5,-0.0389891696750903,"Eintracht Frankfurt","Schalke 04"
"23 Nov 2013","Hertha Berlin","Bayer Leverkusen",2.62,3.4,2.65,0.00432089874693931,"Hertha Berlin","Bayer Leverkusen"
"23 Nov 2013","Nurnberg","Wolfsburg",3.33,3.38,2.18,-0.158415296029975,"Nurnberg","VfL Wolfsburg"
"22 Nov 2013","Stuttgart","B. Monchengladbach",2.25,3.51,3.1,0.121863799283154,"VfB Stuttgart","Borussia Monchengladbach"
"10 Nov 2013","Freiburg","Stuttgart",3.23,3.44,2.2,-0.14494793132564,"SC Freiburg","VfB Stuttgart"
"10 Nov 2013","Mainz","Eintracht Frankfurt",2.62,3.36,2.65,0.00432089874693931,"Mainz","Eintracht Frankfurt"
"09 Nov 2013","B. Monchengladbach","Nurnberg",1.6,4.02,5.6,0.446428571428571,"Borussia Monchengladbach","Nurnberg"
"09 Nov 2013","Bayer Leverkusen","Hamburger SV",1.62,4.09,5.17,0.423860352938367,"Bayer Leverkusen","Hamburg SV"
"09 Nov 2013","Bayern Munich","Augsburg",1.14,7.82,21.1,0.82979961752723,"Bayern Munich","FC Augsburg"
"09 Nov 2013","Hoffenheim","Hertha Berlin",2.21,3.38,3.29,0.14853732000165,"TSG Hoffenheim","Hertha Berlin"
"09 Nov 2013","Schalke","Werder Bremen",1.56,4.07,5.88,0.470957613814757,"Schalke 04","Werder Bremen"
"09 Nov 2013","Wolfsburg","Dortmund",5.06,3.85,1.67,-0.401173936711557,"VfL Wolfsburg","Borussia Dortmund"
"08 Nov 2013","Hannover","Braunschweig",1.62,3.95,5.42,0.432782105598834,"Hannover 96","TSV Eintracht Braunschweig"
"03 Nov 2013","Werder Bremen","Hannover",2.3,3.39,3.06,0.107985223074737,"Werder Bremen","Hannover 96"
"03 Nov 2013","Augsburg","Mainz",2.02,3.37,3.75,0.228382838283828,"FC Augsburg","Mainz"
"02 Nov 2013","Eintracht Frankfurt","Wolfsburg",2.41,3.38,2.91,0.0712951476522508,"Eintracht Frankfurt","VfL Wolfsburg"
"02 Nov 2013","Braunschweig","Bayer Leverkusen",5.2,4.01,1.63,-0.421189240207645,"TSV Eintracht Braunschweig","Bayer Leverkusen"
"02 Nov 2013","Hamburger SV","B. Monchengladbach",2.33,3.5,2.94,0.0890484949344545,"Hamburg SV","Borussia Monchengladbach"
"02 Nov 2013","Hertha Berlin","Schalke",2.36,3.38,2.98,0.0881583437606643,"Hertha Berlin","Schalke 04"
"02 Nov 2013","Hoffenheim","Bayern Munich",10.59,5.78,1.27,-0.692972868476426,"TSG Hoffenheim","Bayern Munich"
"02 Nov 2013","Nurnberg","Freiburg",2.01,3.42,3.76,0.231554991002435,"Nurnberg","SC Freiburg"
"01 Nov 2013","Dortmund","Stuttgart",1.23,6.15,12.36,0.732101981213987,"Borussia Dortmund","VfB Stuttgart"
"27 Oct 2013","B. Monchengladbach","Eintracht Frankfurt",2.25,3.48,3.14,0.125973106864827,"Borussia Monchengladbach","Eintracht Frankfurt"
"27 Oct 2013","Freiburg","Hamburger SV",2.74,3.47,2.49,-0.0366429220531762,"SC Freiburg","Hamburg SV"
"26 Oct 2013","Wolfsburg","Werder Bremen",1.66,3.76,5.29,0.41337372173002,"VfL Wolfsburg","Werder Bremen"
"26 Oct 2013","Bayer Leverkusen","Augsburg",1.6,3.99,5.63,0.447380106571936,"Bayer Leverkusen","FC Augsburg"
"26 Oct 2013","Bayern Munich","Hertha Berlin",1.1,9.7,23,0.865612648221344,"Bayern Munich","Hertha Berlin"
"26 Oct 2013","Hannover","Hoffenheim",2.13,3.57,3.27,0.163673170521601,"Hannover 96","TSG Hoffenheim"
"26 Oct 2013","Mainz","Braunschweig",1.59,3.95,5.69,0.45318389318124,"Mainz","TSV Eintracht Braunschweig"
"26 Oct 2013","Schalke","Dortmund",4.33,3.94,1.76,-0.337234935964728,"Schalke 04","Borussia Dortmund"
