Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
21-May-17,Arsenal,Everton,1.36,5.68,7.84
21-May-17,Burnley,West Ham,2.32,3.46,3.15
21-May-17,Chelsea,Sunderland,1.1,10.78,25.05
21-May-17,Hull,Tottenham,9.33,6.18,1.3
21-May-17,Leicester,Bournemouth,1.7,4.31,4.58
21-May-17,Liverpool,Middlesbrough,1.13,9.5,21.79
21-May-17,Manchester Utd,Crystal Palace,2.32,3.37,3.23
21-May-17,Southampton,Stoke,1.64,4.18,5.33
21-May-17,Swansea,West Brom,2.29,3.38,3.27
21-May-17,Watford,Manchester City,18.11,9.01,1.15
18-May-17,Leicester,Tottenham,4.09,3.89,1.87
17-May-17,Southampton,Manchester Utd,2.37,3.25,3.24
16-May-17,Manchester City,West Brom,1.15,8.62,18.99
16-May-17,Arsenal,Sunderland,1.11,10.93,22.42
15-May-17,Chelsea,Watford,1.28,6.16,10.66
14-May-17,Tottenham,Manchester Utd,1.65,3.96,5.72
14-May-17,West Ham,Liverpool,5.8,4.06,1.63
14-May-17,Crystal Palace,Hull,1.94,3.62,4.14
13-May-17,Stoke,Arsenal,5.16,4.19,1.66
13-May-17,Bournemouth,Burnley,1.83,3.85,4.37
13-May-17,Middlesbrough,Southampton,3.75,3.39,2.05
13-May-17,Sunderland,Swansea,3.31,3.42,2.19
13-May-17,Manchester City,Leicester,1.19,7.1,12.21
12-May-17,West Brom,Chelsea,9.64,5.03,1.36
12-May-17,Everton,Watford,1.42,4.81,7.98
10-May-17,Southampton,Arsenal,3.3,3.6,2.13
8-May-17,Chelsea,Middlesbrough,1.14,9.28,22.15
7-May-17,Arsenal,Manchester Utd,2.1,3.48,3.52
7-May-17,Liverpool,Southampton,1.59,4.16,6.03
6-May-17,Swansea,Everton,2.53,3.46,2.88
6-May-17,Bournemouth,Stoke,2.29,3.4,3.14
6-May-17,Burnley,West Brom,2.54,3.01,3.24
6-May-17,Hull,Sunderland,1.54,4.41,6.28
6-May-17,Leicester,Watford,1.66,3.84,5.81
6-May-17,Manchester City,Crystal Palace,1.25,6.85,11.44
5-May-17,West Ham,Tottenham,8.12,5.15,1.4
1-May-17,Watford,Liverpool,5.7,4.25,1.61
30-Apr-17,Tottenham,Arsenal,1.8,4.11,4.29
30-Apr-17,Everton,Chelsea,4.38,3.7,1.84
30-Apr-17,Middlesbrough,Manchester City,11.4,6.11,1.27
30-Apr-17,Manchester Utd,Swansea,1.42,4.72,8.49
29-Apr-17,Crystal Palace,Burnley,1.82,3.49,5.09
29-Apr-17,Southampton,Hull,1.58,4.19,6.21
