Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
27 May 2013,Kaiserslautern,Hoffenheim,2.40,3.52,2.80
23 May 2013,Hoffenheim,Kaiserslautern,1.92,3.43,4.09
18 May 2013,Augsburg,Greuther Furth,1.44,4.52,7.16
18 May 2013,B. Monchengladbach,Bayern Munich,7.92,4.91,1.38
18 May 2013,Dortmund,Hoffenheim,1.39,5.17,6.90
18 May 2013,Eintracht Frankfurt,Wolfsburg,1.93,3.65,3.75
18 May 2013,Freiburg,Schalke,2.80,3.51,2.41
18 May 2013,Hamburger SV,Bayer Leverkusen,2.80,3.75,2.31
18 May 2013,Hannover,Dusseldorf,2.38,3.58,2.81
18 May 2013,Nurnberg,Werder Bremen,2.33,3.56,2.88
18 May 2013,Stuttgart,Mainz,1.88,3.71,3.92
11 May 2013,Bayer Leverkusen,Hannover,1.29,5.75,9.84
11 May 2013,Bayern Munich,Augsburg,1.17,7.25,15.76
11 May 2013,Dusseldorf,Nurnberg,1.82,3.55,4.43
11 May 2013,Greuther Furth,Freiburg,4.03,3.51,1.92
11 May 2013,Hoffenheim,Hamburger SV,1.95,3.66,3.68
11 May 2013,Mainz,B. Monchengladbach,2.22,3.36,3.25
11 May 2013,Schalke,Stuttgart,1.38,4.75,7.97
11 May 2013,Werder Bremen,Eintracht Frankfurt,2.03,3.56,3.56
11 May 2013,Wolfsburg,Dortmund,4.67,3.93,1.70
05 May 2013,Hamburger SV,Wolfsburg,2.69,3.33,2.62
05 May 2013,Freiburg,Augsburg,2.10,3.40,3.49
04 May 2013,Dortmund,Bayern Munich,2.81,3.35,2.49
04 May 2013,Eintracht Frankfurt,Dusseldorf,1.76,3.52,4.90
04 May 2013,Hannover,Mainz,2.60,3.34,2.70
04 May 2013,Nurnberg,Bayer Leverkusen,4.76,3.76,1.73
04 May 2013,Stuttgart,Greuther Furth,1.68,3.72,5.18
04 May 2013,Werder Bremen,Hoffenheim,1.95,3.60,3.76
03 May 2013,B. Monchengladbach,Schalke,3.46,3.41,2.11
28 Apr 2013,Schalke,Hamburger SV,1.50,4.39,6.23
28 Apr 2013,Mainz,Eintracht Frankfurt,2.14,3.38,3.45
27 Apr 2013,Dusseldorf,Dortmund,3.85,3.48,1.96
27 Apr 2013,Augsburg,Stuttgart,2.21,3.46,3.21
27 Apr 2013,Bayer Leverkusen,Werder Bremen,1.39,4.83,7.63
27 Apr 2013,Bayern Munich,Freiburg,1.25,6.01,11.51
27 Apr 2013,Hoffenheim,Nurnberg,1.89,3.52,4.11
27 Apr 2013,Wolfsburg,B. Monchengladbach,2.06,3.44,3.57
26 Apr 2013,Greuther Furth,Hannover,2.32,3.42,3.02
21 Apr 2013,Nurnberg,Greuther Furth,1.96,3.36,4.05
21 Apr 2013,Stuttgart,Freiburg,2.45,3.36,2.85
20 Apr 2013,Werder Bremen,Wolfsburg,1.97,3.60,3.68
20 Apr 2013,Bayer Leverkusen,Hoffenheim,1.41,4.68,7.49
20 Apr 2013,Dortmund,Mainz,1.42,4.58,7.61
20 Apr 2013,Eintracht Frankfurt,Schalke,3.46,3.51,2.08
20 Apr 2013,Hamburger SV,Dusseldorf,1.79,3.51,4.74
20 Apr 2013,Hannover,Bayern Munich,7.42,4.53,1.43
19 Apr 2013,B. Monchengladbach,Augsburg,2.48,3.22,2.95
14 Apr 2013,Augsburg,Eintracht Frankfurt,2.42,3.25,3.00
14 Apr 2013,Stuttgart,B. Monchengladbach,2.26,3.28,3.27
13 Apr 2013,Schalke,Bayer Leverkusen,2.66,3.30,2.66
13 Apr 2013,Bayern Munich,Nurnberg,1.26,5.78,11.20
13 Apr 2013,Dusseldorf,Werder Bremen,2.71,3.31,2.62
13 Apr 2013,Greuther Furth,Dortmund,7.22,4.46,1.45
13 Apr 2013,Mainz,Hamburger SV,1.82,3.58,4.38
13 Apr 2013,Wolfsburg,Hoffenheim,2.14,3.35,3.45
12 Apr 2013,Freiburg,Hannover,1.73,3.66,4.85
07 Apr 2013,Hannover,Stuttgart,2.37,3.39,2.94
07 Apr 2013,Nurnberg,Mainz,2.46,3.22,2.92
06 Apr 2013,Hamburger SV,Freiburg,2.31,3.37,3.05
06 Apr 2013,B. Monchengladbach,Greuther Furth,1.73,3.69,4.83
06 Apr 2013,Bayer Leverkusen,Wolfsburg,1.48,4.42,6.28
06 Apr 2013,Dortmund,Augsburg,1.52,4.19,6.14
06 Apr 2013,Eintracht Frankfurt,Bayern Munich,7.33,4.43,1.44
06 Apr 2013,Werder Bremen,Schalke,2.72,3.53,2.45
05 Apr 2013,Hoffenheim,Dusseldorf,1.95,3.42,3.93
31 Mar 2013,Greuther Furth,Eintracht Frankfurt,3.12,3.29,2.31
31 Mar 2013,Wolfsburg,Nurnberg,2.00,3.39,3.83
30 Mar 2013,Bayern Munich,Hamburger SV,1.25,5.74,12.40
30 Mar 2013,Augsburg,Hannover,1.95,3.45,3.90
30 Mar 2013,Dusseldorf,Bayer Leverkusen,4.67,3.80,1.72
30 Mar 2013,Freiburg,B. Monchengladbach,2.02,3.33,3.82
30 Mar 2013,Mainz,Werder Bremen,2.16,3.47,3.27
30 Mar 2013,Schalke,Hoffenheim,1.62,3.97,5.32
30 Mar 2013,Stuttgart,Dortmund,4.49,3.75,1.76
17 Mar 2013,B. Monchengladbach,Hannover,2.00,3.43,3.77
17 Mar 2013,Eintracht Frankfurt,Stuttgart,2.01,3.39,3.80
16 Mar 2013,Bayer Leverkusen,Bayern Munich,3.73,3.46,2.01
16 Mar 2013,Dortmund,Freiburg,1.36,5.07,8.28
16 Mar 2013,Hamburger SV,Augsburg,2.06,3.34,3.73
16 Mar 2013,Hoffenheim,Mainz,2.52,3.33,2.79
16 Mar 2013,Nurnberg,Schalke,3.11,3.38,2.29
16 Mar 2013,Werder Bremen,Greuther Furth,1.49,4.27,6.54
15 Mar 2013,Wolfsburg,Dusseldorf,1.87,3.45,4.35
10 Mar 2013,Stuttgart,Hamburger SV,2.35,3.41,2.97
10 Mar 2013,Hannover,Eintracht Frankfurt,2.48,3.37,2.80
09 Mar 2013,B. Monchengladbach,Werder Bremen,2.27,3.49,3.03
09 Mar 2013,Bayern Munich,Dusseldorf,1.11,8.70,22.40
09 Mar 2013,Freiburg,Wolfsburg,1.71,3.75,4.82
09 Mar 2013,Greuther Furth,Hoffenheim,2.63,3.23,2.72
09 Mar 2013,Mainz,Bayer Leverkusen,2.84,3.33,2.47
09 Mar 2013,Schalke,Dortmund,3.51,3.51,2.05
08 Mar 2013,Augsburg,Nurnberg,2.16,3.27,3.48
03 Mar 2013,Dusseldorf,Mainz,2.87,3.32,2.46
03 Mar 2013,Hoffenheim,Bayern Munich,10.82,5.87,1.26
02 Mar 2013,Bayer Leverkusen,Stuttgart,1.50,4.20,6.51
02 Mar 2013,Dortmund,Hannover,1.30,5.62,8.84
02 Mar 2013,Hamburger SV,Greuther Furth,1.64,3.70,5.63
02 Mar 2013,Nurnberg,Freiburg,2.89,3.20,2.52
02 Mar 2013,Werder Bremen,Augsburg,1.72,3.77,4.78
02 Mar 2013,Wolfsburg,Schalke,2.73,3.37,2.54
01 Mar 2013,Eintracht Frankfurt,B. Monchengladbach,1.99,3.41,3.82
24 Feb 2013,Greuther Furth,Bayer Leverkusen,4.72,3.66,1.74
24 Feb 2013,B. Monchengladbach,Dortmund,5.50,3.96,1.60
23 Feb 2013,Schalke,Dusseldorf,1.49,4.25,6.79
23 Feb 2013,Augsburg,Hoffenheim,2.29,3.24,3.20
23 Feb 2013,Bayern Munich,Werder Bremen,1.22,6.42,12.20
23 Feb 2013,Hannover,Hamburger SV,2.62,3.32,2.66
23 Feb 2013,Mainz,Wolfsburg,2.06,3.39,3.62
23 Feb 2013,Stuttgart,Nurnberg,1.94,3.48,3.95
22 Feb 2013,Freiburg,Eintracht Frankfurt,1.98,3.49,3.73
17 Feb 2013,Hoffenheim,Stuttgart,2.36,3.36,2.99
17 Feb 2013,Nurnberg,Hannover,2.06,3.36,3.65
16 Feb 2013,Dortmund,Eintracht Frankfurt,1.41,4.72,7.43
16 Feb 2013,Bayer Leverkusen,Augsburg,1.48,4.28,6.78
16 Feb 2013,Dusseldorf,Greuther Furth,2.42,3.20,3.03
16 Feb 2013,Hamburger SV,B. Monchengladbach,1.96,3.44,3.88
16 Feb 2013,Mainz,Schalke,2.28,3.33,3.16
16 Feb 2013,Werder Bremen,Freiburg,2.07,3.43,3.55
15 Feb 2013,Wolfsburg,Bayern Munich,7.36,4.82,1.40
10 Feb 2013,Freiburg,Dusseldorf,1.63,3.72,5.68
10 Feb 2013,Augsburg,Mainz,2.67,3.16,2.72
09 Feb 2013,Bayern Munich,Schalke,1.23,6.20,12.53
09 Feb 2013,B. Monchengladbach,Bayer Leverkusen,3.39,3.45,2.12
09 Feb 2013,Dortmund,Hamburger SV,1.28,5.60,10.34
09 Feb 2013,Eintracht Frankfurt,Nurnberg,1.79,3.63,4.48
09 Feb 2013,Greuther Furth,Wolfsburg,2.89,3.29,2.44
09 Feb 2013,Hannover,Hoffenheim,2.29,3.44,3.05
09 Feb 2013,Stuttgart,Werder Bremen,2.37,3.44,2.91
03 Feb 2013,Bayer Leverkusen,Dortmund,3.34,3.54,2.10
03 Feb 2013,Nurnberg,B. Monchengladbach,2.36,3.26,3.08
02 Feb 2013,Hamburger SV,Eintracht Frankfurt,2.24,3.50,3.09
02 Feb 2013,Dusseldorf,Stuttgart,3.21,3.33,2.24
02 Feb 2013,Hoffenheim,Freiburg,2.57,3.29,2.74
02 Feb 2013,Mainz,Bayern Munich,7.29,4.37,1.45
02 Feb 2013,Schalke,Greuther Furth,1.35,4.72,9.21
02 Feb 2013,Wolfsburg,Augsburg,1.91,3.44,4.15
01 Feb 2013,Werder Bremen,Hannover,1.87,3.79,3.85
27 Jan 2013,Stuttgart,Bayern Munich,7.88,4.72,1.39
27 Jan 2013,Hamburger SV,Werder Bremen,2.37,3.49,2.87
26 Jan 2013,Freiburg,Bayer Leverkusen,2.80,3.31,2.51
26 Jan 2013,Augsburg,Schalke,3.55,3.43,2.06
26 Jan 2013,B. Monchengladbach,Dusseldorf,1.80,3.48,4.71
26 Jan 2013,Eintracht Frankfurt,Hoffenheim,2.00,3.49,3.70
26 Jan 2013,Greuther Furth,Mainz,3.08,3.26,2.34
26 Jan 2013,Hannover,Wolfsburg,2.39,3.40,2.89
25 Jan 2013,Dortmund,Nurnberg,1.20,6.60,14.27
20 Jan 2013,Dusseldorf,Augsburg,2.46,3.19,2.98
20 Jan 2013,Nurnberg,Hamburger SV,2.39,3.32,2.97
19 Jan 2013,Werder Bremen,Dortmund,4.21,3.84,1.78
19 Jan 2013,Bayern Munich,Greuther Furth,1.11,9.66,22.60
19 Jan 2013,Bayer Leverkusen,Eintracht Frankfurt,1.69,3.94,4.76
19 Jan 2013,Hoffenheim,B. Monchengladbach,2.26,3.35,3.17
19 Jan 2013,Mainz,Freiburg,2.12,3.36,3.47
19 Jan 2013,Wolfsburg,Stuttgart,2.01,3.54,3.61
18 Jan 2013,Schalke,Hannover,1.67,3.85,5.10
16 Dec 2012,Werder Bremen,Nurnberg,1.82,3.72,4.21
16 Dec 2012,Hoffenheim,Dortmund,6.67,4.25,1.49
15 Dec 2012,Schalke,Freiburg,1.65,3.77,5.34
15 Dec 2012,Bayer Leverkusen,Hamburger SV,1.62,3.92,5.34
15 Dec 2012,Dusseldorf,Hannover,2.99,3.25,2.41
15 Dec 2012,Greuther Furth,Augsburg,2.43,3.24,2.98
15 Dec 2012,Mainz,Stuttgart,2.23,3.38,3.19
15 Dec 2012,Wolfsburg,Eintracht Frankfurt,2.02,3.56,3.53
14 Dec 2012,Bayern Munich,B. Monchengladbach,1.16,7.60,15.12
09 Dec 2012,Hannover,Bayer Leverkusen,3.10,3.49,2.23
09 Dec 2012,B. Monchengladbach,Mainz,2.40,3.28,2.98
08 Dec 2012,Eintracht Frankfurt,Werder Bremen,2.41,3.52,2.80
08 Dec 2012,Augsburg,Bayern Munich,12.90,5.75,1.25
08 Dec 2012,Dortmund,Wolfsburg,1.28,5.64,10.24
08 Dec 2012,Freiburg,Greuther Furth,1.63,3.69,5.83
08 Dec 2012,Nurnberg,Dusseldorf,1.80,3.49,4.58
08 Dec 2012,Stuttgart,Schalke,3.08,3.36,2.30
07 Dec 2012,Hamburger SV,Hoffenheim,2.13,3.44,3.36
02 Dec 2012,Wolfsburg,Hamburger SV,1.95,3.48,3.88
02 Dec 2012,Hoffenheim,Werder Bremen,2.53,3.43,2.67
01 Dec 2012,Bayern Munich,Dortmund,1.75,3.87,4.46
01 Dec 2012,Augsburg,Freiburg,2.79,3.27,2.54
01 Dec 2012,Bayer Leverkusen,Nurnberg,1.56,4.07,5.91
01 Dec 2012,Greuther Furth,Stuttgart,2.90,3.38,2.41
01 Dec 2012,Mainz,Hannover,2.04,3.43,3.63
01 Dec 2012,Schalke,B. Monchengladbach,1.51,4.23,6.33
30 Nov 2012,Dusseldorf,Eintracht Frankfurt,2.91,3.41,2.37
28 Nov 2012,Nurnberg,Hoffenheim,2.34,3.38,2.98
28 Nov 2012,B. Monchengladbach,Wolfsburg,2.20,3.48,3.17
28 Nov 2012,Freiburg,Bayern Munich,7.49,4.68,1.41
28 Nov 2012,Stuttgart,Augsburg,1.61,3.93,5.48
28 Nov 2012,Werder Bremen,Bayer Leverkusen,2.62,3.50,2.56
27 Nov 2012,Dortmund,Dusseldorf,1.12,8.20,19.40
27 Nov 2012,Eintracht Frankfurt,Mainz,2.17,3.38,3.32
27 Nov 2012,Hamburger SV,Schalke,4.28,3.59,1.83
27 Nov 2012,Hannover,Greuther Furth,1.90,3.45,4.10
25 Nov 2012,Augsburg,B. Monchengladbach,2.48,3.27,2.87
25 Nov 2012,Hoffenheim,Bayer Leverkusen,2.94,3.47,2.33
25 Nov 2012,Freiburg,Stuttgart,2.40,3.42,2.89
24 Nov 2012,Bayern Munich,Hannover,1.15,7.73,16.64
24 Nov 2012,Greuther Furth,Nurnberg,2.69,3.27,2.63
24 Nov 2012,Mainz,Dortmund,5.01,3.83,1.67
24 Nov 2012,Schalke,Eintracht Frankfurt,1.55,4.39,5.44
24 Nov 2012,Wolfsburg,Werder Bremen,2.36,3.53,2.85
