Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
17 May 2014,Bastia,Nantes,2.18,3.36,3.34
17 May 2014,Lorient,Lille,5.19,3.84,1.66
17 May 2014,Marseille,Guingamp,1.42,4.43,7.74
17 May 2014,Monaco,Bordeaux,1.77,3.57,4.68
17 May 2014,Nice,Lyon,4.59,3.62,1.77
17 May 2014,PSG,Montpellier,1.27,5.87,10.00
17 May 2014,Reims,Rennes,2.19,3.39,3.29
17 May 2014,Sochaux,Thonon-Evian,1.89,3.55,4.03
17 May 2014,St Etienne,AC Ajaccio,1.16,7.76,15.93
17 May 2014,Toulouse,Valenciennes,1.54,4.14,5.98
10 May 2014,AC Ajaccio,Reims,2.96,3.35,2.39
10 May 2014,Bordeaux,Marseille,2.97,3.32,2.39
10 May 2014,Guingamp,Toulouse,1.73,3.76,4.67
10 May 2014,Lille,PSG,2.67,3.29,2.65
10 May 2014,Lyon,Lorient,1.41,4.73,7.42
10 May 2014,Montpellier,Bastia,1.58,4.03,5.58
10 May 2014,Nantes,St Etienne,3.89,3.42,1.97
10 May 2014,Rennes,Sochaux,2.97,3.45,2.33
10 May 2014,Thonon-Evian,Nice,1.50,4.05,7.19
10 May 2014,Valenciennes,Monaco,3.30,3.40,2.19
07 May 2014,PSG,Rennes,1.20,6.69,14.75
07 May 2014,Monaco,Guingamp,1.69,3.69,5.15
04 May 2014,Marseille,Lyon,2.05,3.26,3.85
04 May 2014,Lorient,AC Ajaccio,1.38,4.76,8.20
04 May 2014,Reims,Thonon-Evian,2.50,3.19,2.93
04 May 2014,Sochaux,Nice,1.79,3.60,4.55
04 May 2014,Toulouse,Nantes,1.80,3.61,4.43
04 May 2014,Valenciennes,Bordeaux,2.74,3.27,2.58
04 May 2014,St Etienne,Montpellier,1.51,4.05,6.81
02 May 2014,Bastia,Lille,5.60,3.75,1.63
27 Apr 2014,Lille,Bordeaux,1.64,3.63,5.92
27 Apr 2014,Lyon,Bastia,1.41,4.63,7.98
27 Apr 2014,Sochaux,PSG,6.86,4.36,1.47
26 Apr 2014,Guingamp,Valenciennes,1.79,3.56,4.63
26 Apr 2014,Montpellier,Toulouse,2.12,3.38,3.46
26 Apr 2014,Nice,Reims,1.90,3.34,4.34
26 Apr 2014,Rennes,Lorient,2.26,3.26,3.26
26 Apr 2014,Thonon-Evian,St Etienne,3.71,3.24,2.08
26 Apr 2014,AC Ajaccio,Monaco,7.69,4.31,1.45
25 Apr 2014,Nantes,Marseille,3.43,3.14,2.25
23 Apr 2014,PSG,Thonon-Evian,1.21,6.41,15.00
23 Apr 2014,Toulouse,Lyon,2.79,3.28,2.53
20 Apr 2014,Marseille,Lille,2.19,3.21,3.50
20 Apr 2014,Bastia,AC Ajaccio,1.78,3.57,4.63
20 Apr 2014,Bordeaux,Guingamp,2.09,3.15,3.86
20 Apr 2014,Lorient,Montpellier,2.50,3.12,2.98
20 Apr 2014,Reims,Sochaux,2.48,3.30,2.84
20 Apr 2014,Valenciennes,Nantes,2.21,3.17,3.48
20 Apr 2014,Monaco,Nice,1.40,4.36,8.76
18 Apr 2014,St Etienne,Rennes,1.49,4.17,6.77
13 Apr 2014,Lyon,PSG,4.65,3.60,1.77
13 Apr 2014,Reims,St Etienne,3.56,3.17,2.17
13 Apr 2014,Nantes,Guingamp,2.50,2.83,3.30
