Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
23 May 2021,Atalanta,AC Milan,2.34,4.02,2.77
23 May 2021,Bologna,Juventus,11.39,6.31,1.26
23 May 2021,Napoli,Verona,1.26,6.64,10.50
23 May 2021,Sassuolo,Lazio,1.74,4.53,4.09
23 May 2021,Spezia,AS Roma,5.02,4.65,1.60
23 May 2021,Torino,Benevento,1.64,4.46,4.97
23 May 2021,Inter,Udinese,1.48,4.82,6.46
22 May 2021,Cagliari,Genoa,1.87,3.92,4.06
22 May 2021,Crotone,Fiorentina,3.74,4.31,1.85
22 May 2021,Sampdoria,Parma,1.67,4.54,4.50
18 May 2021,Lazio,Torino,2.28,3.28,3.42
17 May 2021,Verona,Bologna,2.16,3.73,3.28
16 May 2021,AC Milan,Cagliari,1.32,5.78,9.55
16 May 2021,Parma,Sassuolo,6.42,5.01,1.46
16 May 2021,Benevento,Crotone,1.40,5.41,7.22
16 May 2021,Udinese,Sampdoria,2.37,3.55,3.00
16 May 2021,Fiorentina,Napoli,6.61,4.94,1.46
15 May 2021,AS Roma,Lazio,3.38,4.01,2.03
15 May 2021,Juventus,Inter,2.12,3.74,3.37
15 May 2021,Genoa,Atalanta,15.04,8.05,1.18
15 May 2021,Spezia,Torino,3.23,3.05,2.50
13 May 2021,Crotone,Verona,4.02,3.96,1.86
12 May 2021,Atalanta,Benevento,1.17,8.11,15.57
12 May 2021,Bologna,Genoa,2.21,3.41,3.43
12 May 2021,Inter,AS Roma,1.64,4.47,4.90
12 May 2021,Lazio,Parma,1.28,6.15,10.46
12 May 2021,Sampdoria,Spezia,2.58,3.54,2.74
12 May 2021,Sassuolo,Juventus,4.89,4.47,1.64
12 May 2021,Torino,AC Milan,4.71,4.09,1.72
12 May 2021,Cagliari,Fiorentina,2.35,3.19,3.35
11 May 2021,Napoli,Udinese,1.37,5.33,8.14
09 May 2021,Juventus,AC Milan,1.77,3.98,4.47
09 May 2021,AS Roma,Crotone,1.42,5.27,6.82
09 May 2021,Benevento,Cagliari,2.94,3.34,2.52
09 May 2021,Parma,Atalanta,14.05,7.81,1.19
09 May 2021,Verona,Torino,2.98,3.42,2.44
09 May 2021,Genoa,Sassuolo,3.69,3.70,2.02
08 May 2021,Fiorentina,Lazio,4.07,3.84,1.88
08 May 2021,Inter,Sampdoria,1.47,4.76,6.77
08 May 2021,Spezia,Napoli,6.15,4.58,1.53
08 May 2021,Udinese,Bologna,2.42,3.21,3.22
03 May 2021,Torino,Parma,1.63,4.17,5.34
02 May 2021,Sampdoria,AS Roma,3.07,3.65,2.29
02 May 2021,Udinese,Juventus,7.73,4.85,1.42
02 May 2021,Bologna,Fiorentina,2.98,3.30,2.52
02 May 2021,Napoli,Cagliari,1.35,5.30,9.02
02 May 2021,Sassuolo,Atalanta,6.16,5.00,1.48
02 May 2021,Lazio,Genoa,1.47,4.75,6.93
01 May 2021,AC Milan,Benevento,1.37,5.41,8.29
01 May 2021,Crotone,Inter,12.17,6.72,1.24
01 May 2021,Verona,Spezia,2.09,3.55,3.61
26 Apr 2021,Lazio,AC Milan,2.35,3.62,2.99
26 Apr 2021,Torino,Napoli,3.79,3.82,1.96
25 Apr 2021,Atalanta,Bologna,1.24,6.92,11.86
25 Apr 2021,Cagliari,AS Roma,3.38,3.66,2.13
25 Apr 2021,Fiorentina,Juventus,5.60,4.01,1.64
25 Apr 2021,Inter,Verona,1.30,5.61,10.87
25 Apr 2021,Benevento,Udinese,3.42,3.30,2.28
24 Apr 2021,Sassuolo,Sampdoria,1.99,3.81,3.66
24 Apr 2021,Parma,Crotone,1.94,3.72,4.00
24 Apr 2021,Genoa,Spezia,2.40,3.13,3.33
22 Apr 2021,Napoli,Lazio,2.08,3.72,3.49
22 Apr 2021,AS Roma,Atalanta,4.30,4.24,1.76
21 Apr 2021,Bologna,Torino,2.50,3.37,2.95
21 Apr 2021,Crotone,Sampdoria,3.20,3.59,2.24
21 Apr 2021,Genoa,Benevento,2.06,3.26,4.09
21 Apr 2021,Juventus,Parma,1.26,6.23,11.91
21 Apr 2021,Spezia,Inter,10.09,5.70,1.31
21 Apr 2021,Udinese,Cagliari,2.28,3.30,3.40
21 Apr 2021,AC Milan,Sassuolo,1.91,3.77,4.03
20 Apr 2021,Verona,Fiorentina,2.61,3.27,2.87
18 Apr 2021,Napoli,Inter,3.06,3.43,2.39
18 Apr 2021,Torino,AS Roma,2.90,3.52,2.46
18 Apr 2021,Atalanta,Juventus,2.29,3.57,3.12
