Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
01 Jun 2015,Karlsruher SC,Hamburger SV ET,2.21,3.34,3.44
28 May 2015,Hamburger SV,Karlsruher SC,2.36,3.20,3.22
23 May 2015,FC Koln,Wolfsburg,3.91,3.76,1.90
23 May 2015,B. Monchengladbach,Augsburg,1.47,4.65,6.66
23 May 2015,Bayern Munich,Mainz,1.18,8.07,13.73
23 May 2015,Dortmund,Werder Bremen,1.25,6.57,10.47
23 May 2015,Eintracht Frankfurt,Bayer Leverkusen,4.15,4.10,1.77
23 May 2015,Hamburger SV,Schalke,2.10,3.73,3.30
23 May 2015,Hannover,Freiburg,1.95,3.41,4.15
23 May 2015,Hoffenheim,Hertha Berlin,2.08,3.52,3.55
23 May 2015,Paderborn,Stuttgart,3.39,3.98,1.99
16 May 2015,Augsburg,Hannover,2.10,3.57,3.48
16 May 2015,Bayer Leverkusen,Hoffenheim,1.40,5.10,7.54
16 May 2015,Freiburg,Bayern Munich,7.11,4.46,1.46
16 May 2015,Hertha Berlin,Eintracht Frankfurt,1.97,3.61,3.82
16 May 2015,Mainz,FC Koln,1.98,3.54,3.90
16 May 2015,Schalke,Paderborn,1.62,4.18,5.39
16 May 2015,Stuttgart,Hamburger SV,1.73,3.91,4.75
16 May 2015,Werder Bremen,B. Monchengladbach,4.33,4.12,1.76
16 May 2015,Wolfsburg,Dortmund,2.77,3.58,2.47
10 May 2015,FC Koln,Schalke,2.99,3.24,2.50
10 May 2015,Paderborn,Wolfsburg,5.48,4.33,1.58
09 May 2015,Stuttgart,Mainz,1.92,3.74,3.93
09 May 2015,B. Monchengladbach,Bayer Leverkusen,2.69,3.37,2.66
09 May 2015,Bayern Munich,Augsburg,1.30,5.59,10.74
09 May 2015,Dortmund,Hertha Berlin,1.37,4.96,9.08
09 May 2015,Eintracht Frankfurt,Hoffenheim,3.14,3.77,2.16
09 May 2015,Hannover,Werder Bremen,1.79,4.00,4.21
08 May 2015,Hamburger SV,Freiburg,2.19,3.44,3.32
03 May 2015,Hertha Berlin,B. Monchengladbach,4.08,3.38,1.99
03 May 2015,Mainz,Hamburger SV,1.74,3.91,4.73
02 May 2015,Bayer Leverkusen,Bayern Munich,2.27,3.40,3.24
02 May 2015,Augsburg,FC Koln,2.09,3.40,3.70
02 May 2015,Freiburg,Paderborn,1.89,3.71,4.08
02 May 2015,Hoffenheim,Dortmund,3.88,3.90,1.88
02 May 2015,Schalke,Stuttgart,1.96,3.56,3.94
02 May 2015,Werder Bremen,Eintracht Frankfurt,2.09,3.78,3.31
02 May 2015,Wolfsburg,Hannover,1.45,4.66,7.24
26 Apr 2015,B. Monchengladbach,Wolfsburg,2.25,3.52,3.17
26 Apr 2015,Paderborn,Werder Bremen,2.58,3.49,2.68
25 Apr 2015,Bayern Munich,Hertha Berlin,1.15,8.00,21.46
25 Apr 2015,FC Koln,Bayer Leverkusen,5.40,3.75,1.69
25 Apr 2015,Dortmund,Eintracht Frankfurt,1.31,5.60,9.60
25 Apr 2015,Hamburger SV,Augsburg,2.87,3.32,2.53
25 Apr 2015,Hannover,Hoffenheim,2.16,3.58,3.31
25 Apr 2015,Stuttgart,Freiburg,1.95,3.51,3.98
24 Apr 2015,Mainz,Schalke,2.39,3.46,2.96
19 Apr 2015,Wolfsburg,Schalke,1.61,4.23,5.41
19 Apr 2015,Werder Bremen,Hamburger SV,2.02,3.59,3.67
18 Apr 2015,Augsburg,Stuttgart,2.24,3.40,3.28
18 Apr 2015,Bayer Leverkusen,Hannover,1.41,4.80,7.84
18 Apr 2015,Dortmund,Paderborn,1.27,5.97,11.67
18 Apr 2015,Freiburg,Mainz,2.83,3.32,2.58
18 Apr 2015,Hertha Berlin,FC Koln,2.44,2.97,3.38
18 Apr 2015,Hoffenheim,Bayern Munich,4.98,4.08,1.68
17 Apr 2015,Eintracht Frankfurt,B. Monchengladbach,4.08,3.90,1.86
12 Apr 2015,Stuttgart,Werder Bremen,2.06,3.56,3.60
12 Apr 2015,FC Koln,Hoffenheim,2.51,3.32,2.89
11 Apr 2015,Hamburger SV,Wolfsburg,4.95,3.96,1.70
11 Apr 2015,B. Monchengladbach,Dortmund,2.98,3.34,2.45
11 Apr 2015,Bayern Munich,Eintracht Frankfurt,1.18,7.62,15.42
11 Apr 2015,Mainz,Bayer Leverkusen,3.59,3.51,2.07
11 Apr 2015,Paderborn,Augsburg,2.89,3.30,2.52
11 Apr 2015,Schalke,Freiburg,1.63,3.95,5.74
10 Apr 2015,Hannover,Hertha Berlin,1.97,3.36,4.18
05 Apr 2015,Hertha Berlin,Paderborn,2.05,3.33,3.92
05 Apr 2015,Augsburg,Schalke,2.59,3.37,2.77
04 Apr 2015,Dortmund,Bayern Munich,3.30,3.46,2.21
04 Apr 2015,Bayer Leverkusen,Hamburger SV,1.39,4.81,8.54
04 Apr 2015,Eintracht Frankfurt,Hannover,1.97,3.69,3.75
04 Apr 2015,Freiburg,FC Koln,2.60,3.18,2.87
04 Apr 2015,Hoffenheim,B. Monchengladbach,3.01,3.48,2.35
04 Apr 2015,Werder Bremen,Mainz,2.68,3.43,2.63
04 Apr 2015,Wolfsburg,Stuttgart,1.45,4.72,7.15
22 Mar 2015,Bayern Munich,B. Monchengladbach,1.20,6.96,14.71
22 Mar 2015,Mainz,Wolfsburg,3.10,3.51,2.29
21 Mar 2015,Schalke,Bayer Leverkusen,3.31,3.53,2.17
21 Mar 2015,FC Koln,Werder Bremen,2.13,3.42,3.54
21 Mar 2015,Freiburg,Augsburg,2.93,3.27,2.52
21 Mar 2015,Hannover,Dortmund,5.10,4.04,1.67
21 Mar 2015,Paderborn,Hoffenheim,3.87,3.64,1.95
21 Mar 2015,Stuttgart,Eintracht Frankfurt,2.23,3.50,3.23
20 Mar 2015,Hamburger SV,Hertha Berlin,2.44,3.17,3.14
15 Mar 2015,B. Monchengladbach,Hannover,1.68,3.97,5.05
15 Mar 2015,Wolfsburg,Freiburg,1.37,5.09,8.65
14 Mar 2015,Dortmund,FC Koln,1.32,5.20,10.41
14 Mar 2015,Augsburg,Mainz,2.16,3.44,3.44
14 Mar 2015,Eintracht Frankfurt,Paderborn,1.69,4.00,4.94
14 Mar 2015,Hertha Berlin,Schalke,2.87,3.31,2.55
14 Mar 2015,Hoffenheim,Hamburger SV,1.71,3.88,4.98
14 Mar 2015,Werder Bremen,Bayern Munich,8.96,5.49,1.34
13 Mar 2015,Bayer Leverkusen,Stuttgart,1.46,4.42,7.51
08 Mar 2015,Paderborn,Bayer Leverkusen,5.42,3.98,1.65
08 Mar 2015,FC Koln,Eintracht Frankfurt,2.38,3.38,3.06
07 Mar 2015,Mainz,B. Monchengladbach,2.82,3.36,2.54
07 Mar 2015,Augsburg,Wolfsburg,3.40,3.59,2.12
07 Mar 2015,Freiburg,Werder Bremen,2.56,3.46,2.73
07 Mar 2015,Hamburger SV,Dortmund,6.74,4.37,1.49
07 Mar 2015,Hannover,Bayern Munich,12.96,6.27,1.24
07 Mar 2015,Schalke,Hoffenheim,2.35,3.47,3.01
06 Mar 2015,Stuttgart,Hertha Berlin,2.09,3.34,3.76
01 Mar 2015,Werder Bremen,Wolfsburg,3.83,3.82,1.92
01 Mar 2015,B. Monchengladbach,Paderborn,1.58,4.12,5.90
28 Feb 2015,Eintracht Frankfurt,Hamburger SV,1.97,3.65,3.77
28 Feb 2015,Bayer Leverkusen,Freiburg,1.37,5.03,8.81
28 Feb 2015,Dortmund,Schalke,1.53,4.38,6.25
28 Feb 2015,Hannover,Stuttgart,2.15,3.46,3.42
28 Feb 2015,Hertha Berlin,Augsburg,2.81,3.26,2.63
28 Feb 2015,Hoffenheim,Mainz,1.92,3.69,3.91
27 Feb 2015,Bayern Munich,FC Koln,1.11,9.89,25.58
22 Feb 2015,Wolfsburg,Hertha Berlin,1.38,4.98,8.52
22 Feb 2015,Hamburger SV,B. Monchengladbach,3.16,3.34,2.34
21 Feb 2015,FC Koln,Hannover,2.33,3.17,3.35
21 Feb 2015,Augsburg,Bayer Leverkusen,3.24,3.39,2.27
21 Feb 2015,Freiburg,Hoffenheim,3.39,3.52,2.15
21 Feb 2015,Mainz,Eintracht Frankfurt,2.29,3.55,3.09
21 Feb 2015,Paderborn,Bayern Munich,18.89,7.69,1.17
21 Feb 2015,Schalke,Werder Bremen,2.03,3.60,3.62
20 Feb 2015,Stuttgart,Dortmund,5.82,4.09,1.60
15 Feb 2015,Hannover,Paderborn,1.72,3.87,4.90
15 Feb 2015,Hertha Berlin,Freiburg,2.06,3.31,3.86
14 Feb 2015,Eintracht Frankfurt,Schalke,2.36,3.60,2.94
14 Feb 2015,B. Monchengladbach,FC Koln,1.92,3.39,4.39
14 Feb 2015,Bayer Leverkusen,Wolfsburg,2.20,3.46,3.33
14 Feb 2015,Bayern Munich,Hamburger SV,1.10,10.58,28.28
14 Feb 2015,Hoffenheim,Stuttgart,2.02,3.55,3.71
14 Feb 2015,Werder Bremen,Augsburg,2.65,3.40,2.69
13 Feb 2015,Dortmund,Mainz,1.32,5.43,9.47
08 Feb 2015,Augsburg,Eintracht Frankfurt,2.00,3.60,3.73
08 Feb 2015,Werder Bremen,Bayer Leverkusen,4.38,3.82,1.80
07 Feb 2015,Hamburger SV,Hannover,2.42,3.29,3.07
07 Feb 2015,FC Koln,Paderborn,1.92,3.45,4.27
07 Feb 2015,Freiburg,Dortmund,5.78,4.18,1.58
07 Feb 2015,Mainz,Hertha Berlin,1.83,3.58,4.59
07 Feb 2015,Stuttgart,Bayern Munich,12.91,6.24,1.24
07 Feb 2015,Wolfsburg,Hoffenheim,1.54,4.52,5.76
06 Feb 2015,Schalke,B. Monchengladbach,2.79,3.38,2.56
04 Feb 2015,FC Koln,Stuttgart,2.29,3.33,3.25
04 Feb 2015,Dortmund,Augsburg,1.38,4.82,8.76
04 Feb 2015,Hertha Berlin,Bayer Leverkusen,4.76,3.68,1.78
04 Feb 2015,Hoffenheim,Werder Bremen,1.66,4.30,4.83
04 Feb 2015,Paderborn,Hamburger SV,2.50,3.36,2.89
03 Feb 2015,B. Monchengladbach,Freiburg,1.54,4.31,6.11
03 Feb 2015,Bayern Munich,Schalke,1.14,8.96,19.10
03 Feb 2015,Eintracht Frankfurt,Wolfsburg,3.55,3.89,1.98
03 Feb 2015,Hannover,Mainz,2.25,3.43,3.25
01 Feb 2015,Augsburg,Hoffenheim,2.43,3.39,2.98
01 Feb 2015,Werder Bremen,Hertha Berlin,2.20,3.45,3.35
31 Jan 2015,Bayer Leverkusen,Dortmund,2.55,3.46,2.77
31 Jan 2015,Schalke,Hannover,2.00,3.60,3.77
31 Jan 2015,Freiburg,Eintracht Frankfurt,2.85,3.69,2.39
31 Jan 2015,Hamburger SV,FC Koln,2.41,3.23,3.15
31 Jan 2015,Mainz,Paderborn,1.98,3.56,3.91
31 Jan 2015,Stuttgart,B. Monchengladbach,2.82,3.41,2.53
30 Jan 2015,Wolfsburg,Bayern Munich,6.64,4.63,1.48
21 Dec 2014,Freiburg,Hannover,2.46,3.41,2.92
21 Dec 2014,Hertha Berlin,Hoffenheim,2.69,3.45,2.62
20 Dec 2014,Wolfsburg,FC Koln,1.45,4.61,7.51
20 Dec 2014,Augsburg,B. Monchengladbach,2.65,3.31,2.77
20 Dec 2014,Bayer Leverkusen,Eintracht Frankfurt,1.39,5.33,7.72
20 Dec 2014,Schalke,Hamburger SV,1.88,3.60,4.33
20 Dec 2014,Stuttgart,Paderborn,1.86,3.75,4.24
20 Dec 2014,Werder Bremen,Dortmund,6.36,4.73,1.49
19 Dec 2014,Mainz,Bayern Munich,15.71,6.95,1.20
17 Dec 2014,B. Monchengladbach,Werder Bremen,1.55,4.52,5.66
17 Dec 2014,Dortmund,Wolfsburg,1.86,3.98,4.01
17 Dec 2014,Eintracht Frankfurt,Hertha Berlin,2.02,3.56,3.76
17 Dec 2014,Hoffenheim,Bayer Leverkusen,3.26,3.68,2.16
17 Dec 2014,Paderborn,Schalke,3.09,3.54,2.30
16 Dec 2014,FC Koln,Mainz,2.27,3.36,3.27
16 Dec 2014,Bayern Munich,Freiburg,1.07,12.81,33.33
16 Dec 2014,Hamburger SV,Stuttgart,2.01,3.51,3.86
16 Dec 2014,Hannover,Augsburg,2.50,3.30,2.97
14 Dec 2014,Wolfsburg,Paderborn,1.46,4.74,6.94
14 Dec 2014,Bayer Leverkusen,B. Monchengladbach,1.74,3.88,4.82
13 Dec 2014,Mainz,Stuttgart,2.21,3.49,3.28
13 Dec 2014,Augsburg,Bayern Munich,10.53,5.52,1.31
13 Dec 2014,Freiburg,Hamburger SV,2.41,3.36,3.05
13 Dec 2014,Hertha Berlin,Dortmund,5.46,4.01,1.63
13 Dec 2014,Schalke,FC Koln,2.01,3.55,3.78
13 Dec 2014,Werder Bremen,Hannover,2.80,3.42,2.55
12 Dec 2014,Hoffenheim,Eintracht Frankfurt,1.88,3.87,3.91
07 Dec 2014,Eintracht Frankfurt,Werder Bremen,1.96,3.69,3.82
07 Dec 2014,Hamburger SV,Mainz,2.25,3.44,3.23
06 Dec 2014,Bayern Munich,Bayer Leverkusen,1.31,5.88,9.36
06 Dec 2014,FC Koln,Augsburg,2.84,3.19,2.65
06 Dec 2014,B. Monchengladbach,Hertha Berlin,1.70,3.84,5.16
06 Dec 2014,Hannover,Wolfsburg,3.92,3.69,1.94
06 Dec 2014,Paderborn,Freiburg,2.26,3.49,3.22
06 Dec 2014,Stuttgart,Schalke,2.24,3.51,3.21
05 Dec 2014,Dortmund,Hoffenheim,1.46,4.78,6.59
30 Nov 2014,Eintracht Frankfurt,Dortmund,5.79,4.59,1.54
30 Nov 2014,Wolfsburg,B. Monchengladbach,1.88,3.73,4.11
29 Nov 2014,Hoffenheim,Hannover,1.67,4.09,5.05
29 Nov 2014,Augsburg,Hamburger SV,1.85,3.63,4.45
29 Nov 2014,Bayer Leverkusen,FC Koln,1.52,4.29,6.56
29 Nov 2014,Hertha Berlin,Bayern Munich,14.68,6.96,1.21
29 Nov 2014,Schalke,Mainz,2.13,3.47,3.53
29 Nov 2014,Werder Bremen,Paderborn,2.42,3.47,2.94
28 Nov 2014,Freiburg,Stuttgart,2.39,3.45,3.00
23 Nov 2014,Stuttgart,Augsburg,2.54,3.36,2.83
23 Nov 2014,Hamburger SV,Werder Bremen,1.87,3.58,4.33
22 Nov 2014,FC Koln,Hertha Berlin,2.19,3.32,3.50
22 Nov 2014,B. Monchengladbach,Eintracht Frankfurt,1.47,4.83,6.34
22 Nov 2014,Bayern Munich,Hoffenheim,1.15,8.60,16.81
22 Nov 2014,Hannover,Bayer Leverkusen,4.23,3.70,1.86
22 Nov 2014,Mainz,Freiburg,2.25,3.45,3.24
22 Nov 2014,Paderborn,Dortmund,6.96,4.97,1.43
22 Nov 2014,Schalke,Wolfsburg,3.20,3.57,2.21
09 Nov 2014,Dortmund,B. Monchengladbach,1.64,4.24,5.04
09 Nov 2014,Wolfsburg,Hamburger SV,1.62,4.13,5.37
08 Nov 2014,Werder Bremen,Stuttgart,2.72,3.50,2.55
08 Nov 2014,Augsburg,Paderborn,1.78,3.69,4.74
