Team_ESPN,Team_ODDS
Atalanta,Atalanta
Cagliari,Cagliari
Catania,Catania
Chievo Verona,Chievo
Fiorentina,Fiorentina
AC Milan,AC Milan
AS Roma,AS Roma
Torino,Torino
Bologna,Bologna
Genoa,Genoa
Internazionale,Inter
Juventus,Juventus
Lazio,Lazio
Lecce,Lecce
Napoli,Napoli
Palermo,Palermo
Reggina,Reggio Calabria
Siena,Siena
Sampdoria,Sampdoria
Udinese,Udinese
Parma,Parma
Livorno,Livorno
Bari,Bari
Cesena,Cesena
Brescia,Brescia
Novara,Novara
US Pescara,Pescara
Sassuolo,Sassuolo
Hellas Verona,Verona
Empoli,Empoli
Carpi,AC Carpi
Frosinone,Frosinone
Crotone,Crotone
SPAL,Spal
Benevento,Benevento
Spezia,Spezia
Salernitana,Salernitana
Venezia,Venezia
Monza,Monza
Cremonese,Cremonese
