Team_ESPN,Team_ODDS
Nice,Nice
Le Mans,Le Mans
Toulouse,Toulouse
Nantes,Nantes
Lille,Lille
Bordeaux,Bordeaux
Sochaux,Sochaux
Grenoble,Grenoble
Stade Rennais,Rennes
Lyon,Lyon
Marseille,Marseille
Lorient,Lorient
Valenciennes,Valenciennes
Saint-Etienne,St Etienne
AS Nancy Lorraine,Nancy
Paris Saint-Germain,PSG
AJ Auxerre,Auxerre
Caen,Caen
Le Havre AC,Le Havre
AS Monaco,Monaco
Montpellier,Montpellier
Boulogne,Boulogne
Lens,Lens
Arles,Arles-Avignon
Brest,Brest
Evian Thonon Gaillard,Thonon-Evian
AC Ajaccio,AC Ajaccio
Dijon FCO,Dijon
Bastia,Bastia
Troyes,Troyes
Stade de Reims,Reims
Guingamp,Guingamp
Metz,Metz
Angers,Angers
GFC Ajaccio,GFC Ajaccio
Strasbourg,Strasbourg
SC Amiens,Amiens
Nimes,Nimes
Clermont Foot,Clermont
