Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
23 May 2016,Nurnberg,Eintracht Frankfurt,2.92,3.25,2.53
19 May 2016,Eintracht Frankfurt,Nurnberg,1.99,3.41,4.02
14 May 2016,Augsburg,Hamburger SV,0,0,0
14 May 2016,Bayer Leverkusen,Ingolstadt,1.65,4.22,5.04
14 May 2016,Bayern Munich,Hannover,1.10,12.09,22.36
14 May 2016,Darmstadt,B. Monchengladbach,3.76,3.93,1.92
14 May 2016,Dortmund,FC Koln,1.24,7.11,10.61
14 May 2016,Hoffenheim,Schalke,3.49,4.08,1.97
14 May 2016,Mainz,Hertha Berlin,2.01,3.55,3.80
14 May 2016,Werder Bremen,Eintracht Frankfurt,1.91,3.85,3.92
14 May 2016,Wolfsburg,Stuttgart,2.12,4.13,3.06
07 May 2016,FC Koln,Werder Bremen,2.93,3.79,2.31
07 May 2016,B. Monchengladbach,Bayer Leverkusen,1.77,4.11,4.27
07 May 2016,Eintracht Frankfurt,Dortmund,6.65,4.94,1.46
07 May 2016,Hamburger SV,Wolfsburg,2.59,3.45,2.75
07 May 2016,Hannover,Hoffenheim,2.84,3.67,2.42
07 May 2016,Hertha Berlin,Darmstadt,1.84,3.69,4.47
07 May 2016,Ingolstadt,Bayern Munich,14.73,6.26,1.23
07 May 2016,Schalke,Augsburg,1.69,4.21,4.76
07 May 2016,Stuttgart,Mainz,2.12,3.86,3.24
02 May 2016,Werder Bremen,Stuttgart,1.91,3.92,3.76
30 Apr 2016,Bayer Leverkusen,Hertha Berlin,1.59,4.09,5.94
30 Apr 2016,Bayern Munich,B. Monchengladbach,0,0,0
30 Apr 2016,Darmstadt,Eintracht Frankfurt,2.53,3.30,2.90
30 Apr 2016,Dortmund,Wolfsburg,1.36,5.33,8.27
30 Apr 2016,Hannover,Schalke,4.24,4.03,1.79
30 Apr 2016,Hoffenheim,Ingolstadt,0,0,0
30 Apr 2016,Mainz,Hamburger SV,1.71,3.96,4.90
29 Apr 2016,Augsburg,FC Koln,2.58,3.35,2.80
24 Apr 2016,Eintracht Frankfurt,Mainz,3.06,3.51,2.31
24 Apr 2016,B. Monchengladbach,Hoffenheim,1.59,4.47,5.37
23 Apr 2016,Schalke,Bayer Leverkusen,0,0,0
23 Apr 2016,FC Koln,Darmstadt,1.93,3.43,4.26
23 Apr 2016,Hertha Berlin,Bayern Munich,9.70,4.80,1.37
23 Apr 2016,Ingolstadt,Hannover,2.14,3.37,3.54
23 Apr 2016,Stuttgart,Dortmund,4.67,4.33,1.67
23 Apr 2016,Wolfsburg,Augsburg,1.85,3.71,4.23
22 Apr 2016,Hamburger SV,Werder Bremen,2.78,3.48,2.52
17 Apr 2016,Mainz,FC Koln,2.08,3.50,3.61
