Team_ESPN,Team_ODDS
TSG Hoffenheim,Hoffenheim
Hannover 96,Hannover
Hertha Berlin,Hertha Berlin
Werder Bremen,Werder Bremen
Borussia Monchengladbach,B. Monchengladbach
Hamburg SV,Hamburger SV
Karlsruher SC,Karlsruher SC
Schalke 04,Schalke
Bayern Munich,Bayern Munich
VfL Bochum,Bochum
Borussia Dortmund,Dortmund
Energie Cottbus,Cottbus
Arminia Bielefeld,Arminia Bielefeld
Bayer Leverkusen,Bayer Leverkusen
Eintracht Frankfurt,Eintracht Frankfurt
VfL Wolfsburg,Wolfsburg
VfB Stuttgart,Stuttgart
FC Cologne,FC Koln
SC Freiburg,Freiburg
Nurnberg,Nurnberg
Mainz,Mainz
St. Pauli,St. Pauli
Kaiserslautern,Kaiserslautern
FC Augsburg,Augsburg
Fortuna Dsseldorf,Dusseldorf
SpVgg Greuther Furth,Greuther Furth
TSV Eintracht Braunschweig,Braunschweig
SC Paderborn 07,Paderborn
SV Darmstadt 98,Darmstadt
FC Ingolstadt 04,Ingolstadt
RB Leipzig,RB Leipzig
1. FC Union Berlin,Union Berlin
