Team_ESPN,Team_ODDS
Osasuna,Osasuna
Atltico Madrid,Atl. Madrid
Mlaga,Malaga
Espanyol,Espanyol
Almera,Almeria
Villarreal,Villarreal
Racing Santander,Racing Santander
Athletic Club,Ath Bilbao
Numancia,Numancia
Real Madrid,Real Madrid
Deportivo La Corua,Dep. La Coruna
Barcelona,Barcelona
Getafe,Getafe
Real Betis,Betis
Sevilla,Sevilla
Valencia,Valencia
Sporting Gijn,Gijon
Real Valladolid,Valladolid
Recreativo Huelva,Recreativo Huelva
Mallorca,Mallorca
Xerez,Xerez CD
Atletico Madrid,Atl. Madrid
Tenerife,Tenerife
Real Zaragoza,Zaragoza
Levante,Levante
Real Sociedad,Real Sociedad
Hercules,Hercules
Rayo Vallecano,Rayo Vallecano
Celta Vigo,Celta Vigo
Granada,Granada CF
Elche,Elche
Eibar,Eibar
Crdoba,Cordoba
Las Palmas,Las Palmas
Alavs,Alaves
Legans,Leganes
Girona,Girona
Huesca,Huesca
Cdiz,Cadiz CF
