Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
16 May 2010,Augsburg,Nurnberg,2.43,3.26,2.80
13 May 2010,Nurnberg,Augsburg,1.87,3.42,4.11
08 May 2010,B. Monchengladbach,Bayer Leverkusen,4.24,3.98,1.74
08 May 2010,Bochum,Hannover,2.38,3.52,2.79
08 May 2010,Freiburg,Dortmund,3.79,3.62,1.93
08 May 2010,Hertha Berlin,Bayern Munich,4.91,3.82,1.68
08 May 2010,Hoffenheim,Stuttgart,2.68,3.42,2.52
08 May 2010,Mainz,Schalke,2.99,3.42,2.29
08 May 2010,Nurnberg,FC Koln,1.53,4.26,5.65
08 May 2010,Werder Bremen,Hamburger SV,1.58,4.16,5.32
08 May 2010,Wolfsburg,Eintracht Frankfurt,1.57,4.36,5.07
01 May 2010,FC Koln,Freiburg,2.33,3.32,3.01
01 May 2010,Bayer Leverkusen,Hertha Berlin,1.33,5.07,8.61
01 May 2010,Bayern Munich,Bochum,1.11,8.82,22.60
01 May 2010,Dortmund,Wolfsburg,1.55,4.00,5.78
01 May 2010,Eintracht Frankfurt,Hoffenheim,2.51,3.37,2.68
01 May 2010,Hamburger SV,Nurnberg,2.12,3.33,3.44
01 May 2010,Hannover,B. Monchengladbach,1.84,3.60,4.08
01 May 2010,Schalke,Werder Bremen,2.19,3.46,3.13
01 May 2010,Stuttgart,Mainz,1.33,4.98,8.94
25 Apr 2010,Freiburg,Wolfsburg,2.85,3.46,2.42
25 Apr 2010,Hoffenheim,Hamburger SV,2.42,3.30,2.92
24 Apr 2010,Werder Bremen,FC Koln,1.26,5.81,10.60
24 Apr 2010,B. Monchengladbach,Bayern Munich,6.60,4.35,1.48
24 Apr 2010,Bayer Leverkusen,Hannover,1.29,5.26,10.30
24 Apr 2010,Hertha Berlin,Schalke,3.76,3.57,1.94
24 Apr 2010,Mainz,Eintracht Frankfurt,2.24,3.26,3.27
24 Apr 2010,Nurnberg,Dortmund,3.24,3.33,2.22
23 Apr 2010,Bochum,Stuttgart,4.49,3.63,1.78
18 Apr 2010,Eintracht Frankfurt,Hertha Berlin,2.42,3.40,2.84
18 Apr 2010,Dortmund,Hoffenheim,1.57,3.87,6.10
17 Apr 2010,Bayern Munich,Hannover,1.17,6.98,15.34
17 Apr 2010,Freiburg,Nurnberg,2.37,3.26,3.06
17 Apr 2010,Hamburger SV,Mainz,1.46,4.11,7.40
17 Apr 2010,Schalke,B. Monchengladbach,1.37,4.49,8.58
17 Apr 2010,Stuttgart,Bayer Leverkusen,2.20,3.36,3.19
17 Apr 2010,Wolfsburg,Werder Bremen,2.87,3.47,2.34
16 Apr 2010,FC Koln,Bochum,2.17,3.27,3.46
11 Apr 2010,Nurnberg,Wolfsburg,2.65,3.40,2.57
11 Apr 2010,Bochum,Hamburger SV,3.66,3.42,2.02
10 Apr 2010,Bayer Leverkusen,Bayern Munich,3.18,3.39,2.22
10 Apr 2010,Hannover,Schalke,5.24,3.71,1.67
10 Apr 2010,Hertha Berlin,Stuttgart,2.52,3.38,2.72
10 Apr 2010,Hoffenheim,FC Koln,1.70,3.68,4.93
10 Apr 2010,Mainz,Dortmund,4.24,3.52,1.85
10 Apr 2010,Werder Bremen,Freiburg,1.29,5.17,11.25
09 Apr 2010,B. Monchengladbach,Eintracht Frankfurt,2.42,3.31,2.90
04 Apr 2010,Hamburger SV,Hannover,1.42,4.43,7.92
04 Apr 2010,Wolfsburg,Hoffenheim,1.80,3.60,4.41
03 Apr 2010,FC Koln,Hertha Berlin,2.43,3.30,2.87
03 Apr 2010,Dortmund,Werder Bremen,2.39,3.34,2.87
03 Apr 2010,Eintracht Frankfurt,Bayer Leverkusen,3.39,3.44,2.11
03 Apr 2010,Freiburg,Bochum,2.02,3.41,3.62
03 Apr 2010,Nurnberg,Mainz,1.99,3.38,3.80
03 Apr 2010,Schalke,Bayern Munich,2.71,3.28,2.59
03 Apr 2010,Stuttgart,B. Monchengladbach,1.44,4.33,7.63
28 Mar 2010,B. Monchengladbach,Hamburger SV,3.28,3.31,2.20
28 Mar 2010,Hoffenheim,Freiburg,1.63,3.84,5.58
27 Mar 2010,Bayer Leverkusen,Schalke,2.16,3.29,3.35
27 Mar 2010,Bayern Munich,Stuttgart,1.63,3.76,5.51
27 Mar 2010,Hannover,FC Koln,2.20,3.33,3.29
27 Mar 2010,Hertha Berlin,Dortmund,3.23,3.32,2.22
27 Mar 2010,Mainz,Wolfsburg,2.81,3.30,2.49
27 Mar 2010,Werder Bremen,Nurnberg,1.39,4.58,8.25
26 Mar 2010,Bochum,Eintracht Frankfurt,2.36,3.28,2.94
21 Mar 2010,Wolfsburg,Hertha Berlin,1.53,4.09,6.14
21 Mar 2010,Hamburger SV,Schalke,2.35,3.25,3.01
