Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
21 May 2017,Barcelona,Eibar,1.05,17.02,35.80
21 May 2017,Malaga,Real Madrid,12.26,7.12,1.22
21 May 2017,Atl. Madrid,Ath Bilbao,2.07,3.44,3.64
21 May 2017,Celta Vigo,Real Sociedad,4.13,3.86,1.82
21 May 2017,Valencia,Villarreal,3.01,3.59,2.28
20 May 2017,Sevilla,Osasuna,1.15,9.18,15.67
20 May 2017,Dep. La Coruna,Las Palmas,1.86,3.92,3.96
20 May 2017,Leganes,Alaves,2.02,3.46,3.86
20 May 2017,Gijon,Betis,2.37,3.66,2.87
19 May 2017,Granada CF,Espanyol,5.06,4.18,1.65
17 May 2017,Celta Vigo,Real Madrid,11.65,7.37,1.22
14 May 2017,Ath Bilbao,Leganes,1.48,4.37,7.25
14 May 2017,Betis,Atl. Madrid,6.45,4.08,1.55
14 May 2017,Eibar,Gijon,1.80,4.10,4.08
14 May 2017,Las Palmas,Barcelona,22.41,12.41,1.08
14 May 2017,Real Madrid,Sevilla,1.20,7.36,10.90
14 May 2017,Real Sociedad,Malaga,1.48,4.57,6.72
14 May 2017,Villarreal,Dep. La Coruna,1.42,4.85,7.47
14 May 2017,Alaves,Celta Vigo,2.02,3.35,3.98
13 May 2017,Osasuna,Granada CF,1.61,4.15,5.49
13 May 2017,Espanyol,Valencia,2.45,3.37,2.98
08 May 2017,Leganes,Betis,1.73,3.73,5.11
07 May 2017,Malaga,Celta Vigo,1.43,4.66,7.57
07 May 2017,Dep. La Coruna,Espanyol,2.19,3.24,3.44
07 May 2017,Valencia,Osasuna,1.26,6.42,10.79
07 May 2017,Alaves,Ath Bilbao,4.49,3.48,1.88
06 May 2017,Granada CF,Real Madrid,24.66,11.89,1.08
06 May 2017,Barcelona,Villarreal,1.13,8.90,17.76
06 May 2017,Atl. Madrid,Eibar,1.32,5.18,10.96
06 May 2017,Gijon,Las Palmas,1.53,4.73,5.66
05 May 2017,Sevilla,Real Sociedad,1.65,4.13,5.20
01 May 2017,Malaga,Sevilla,4.01,3.89,1.87
30 Apr 2017,Celta Vigo,Ath Bilbao,5.12,3.86,1.70
30 Apr 2017,Eibar,Leganes,2.16,3.15,3.76
30 Apr 2017,Betis,Alaves,1.60,4.07,5.88
30 Apr 2017,Osasuna,Dep. La Coruna,3.50,3.42,2.10
29 Apr 2017,Espanyol,Barcelona,12.39,6.62,1.20
29 Apr 2017,Las Palmas,Atl. Madrid,6.76,4.59,1.48
29 Apr 2017,Real Madrid,Valencia,1.12,9.96,15.74
29 Apr 2017,Real Sociedad,Granada CF,1.14,8.35,16.89
28 Apr 2017,Villarreal,Gijon,1.46,4.67,6.95
27 Apr 2017,Ath Bilbao,Betis,1.40,4.83,8.46
27 Apr 2017,Sevilla,Celta Vigo,1.34,5.52,8.91
27 Apr 2017,Alaves,Eibar,2.41,3.15,3.26
26 Apr 2017,Dep. La Coruna,Real Madrid,7.58,5.46,1.38
26 Apr 2017,Leganes,Las Palmas,1.50,4.48,6.70
26 Apr 2017,Valencia,Real Sociedad,2.78,3.44,2.55
26 Apr 2017,Barcelona,Osasuna,1.04,19.30,41.84
25 Apr 2017,Atl. Madrid,Villarreal,1.44,4.27,8.93
25 Apr 2017,Granada CF,Malaga,3.82,3.76,1.95
25 Apr 2017,Gijon,Espanyol,2.35,3.43,3.11
24 Apr 2017,Eibar,Ath Bilbao,2.93,3.30,2.51
23 Apr 2017,Real Madrid,Barcelona,1.96,4.07,3.52
23 Apr 2017,Las Palmas,Alaves,2.03,3.50,3.83
23 Apr 2017,Celta Vigo,Betis,2.52,3.20,3.03
23 Apr 2017,Real Sociedad,Dep. La Coruna,1.56,4.29,6.08
22 Apr 2017,Espanyol,Atl. Madrid,5.44,3.46,1.76
22 Apr 2017,Osasuna,Gijon,2.78,3.68,2.46
22 Apr 2017,Villarreal,Leganes,1.62,3.83,6.18
22 Apr 2017,Malaga,Valencia,2.14,3.53,3.44
21 Apr 2017,Sevilla,Granada CF,1.16,8.47,16.71
17 Apr 2017,Alaves,Villarreal,3.14,3.15,2.45
16 Apr 2017,Granada CF,Celta Vigo,2.61,3.48,2.69
16 Apr 2017,Betis,Eibar,2.81,3.17,2.72
16 Apr 2017,Valencia,Sevilla,2.83,3.64,2.44
16 Apr 2017,Leganes,Espanyol,2.23,3.10,3.68
15 Apr 2017,Barcelona,Real Sociedad,1.22,7.05,12.18
15 Apr 2017,Atl. Madrid,Osasuna,1.20,6.73,17.07
15 Apr 2017,Gijon,Real Madrid,7.37,5.45,1.39
15 Apr 2017,Dep. La Coruna,Malaga,2.44,3.24,3.12
14 Apr 2017,Ath Bilbao,Las Palmas,1.38,5.25,8.12
10 Apr 2017,Real Sociedad,Gijon,1.50,4.45,6.57
09 Apr 2017,Las Palmas,Betis,1.98,3.64,3.83
09 Apr 2017,Osasuna,Leganes,3.73,3.28,2.14
09 Apr 2017,Celta Vigo,Eibar,2.45,3.40,2.96
09 Apr 2017,Granada CF,Valencia,3.34,3.53,2.18
08 Apr 2017,Malaga,Barcelona,8.65,5.86,1.32
08 Apr 2017,Sevilla,Dep. La Coruna,1.47,4.57,7.06
08 Apr 2017,Real Madrid,Atl. Madrid,1.73,3.89,4.88
08 Apr 2017,Espanyol,Alaves,2.18,3.08,3.90
07 Apr 2017,Villarreal,Ath Bilbao,2.29,3.19,3.44
06 Apr 2017,Valencia,Celta Vigo,2.18,3.48,3.37
06 Apr 2017,Eibar,Las Palmas,1.67,4.14,5.00
05 Apr 2017,Leganes,Real Madrid,6.92,4.15,1.53
05 Apr 2017,Alaves,Osasuna,1.62,3.72,6.65
05 Apr 2017,Dep. La Coruna,Granada CF,1.52,4.28,6.78
05 Apr 2017,Gijon,Malaga,2.78,3.36,2.63
05 Apr 2017,Barcelona,Sevilla,1.20,7.91,12.89
04 Apr 2017,Atl. Madrid,Real Sociedad,1.38,4.75,9.68
04 Apr 2017,Betis,Villarreal,2.77,3.23,2.73
04 Apr 2017,Ath Bilbao,Espanyol,1.53,4.16,6.92
03 Apr 2017,Celta Vigo,Las Palmas,1.89,3.79,4.10
02 Apr 2017,Granada CF,Barcelona,14.74,7.77,1.18
02 Apr 2017,Valencia,Dep. La Coruna,1.87,3.58,4.52
02 Apr 2017,Real Madrid,Alaves,1.13,9.74,19.87
02 Apr 2017,Sevilla,Gijon,1.29,6.19,10.14
01 Apr 2017,Malaga,Atl. Madrid,4.88,3.57,1.81
01 Apr 2017,Real Sociedad,Leganes,2.02,3.17,4.39
01 Apr 2017,Osasuna,Ath Bilbao,5.67,4.12,1.62
01 Apr 2017,Villarreal,Eibar,1.90,3.59,4.33
31 Mar 2017,Espanyol,Betis,2.29,3.16,3.51
19 Mar 2017,Barcelona,Valencia,1.13,10.38,19.72
19 Mar 2017,Dep. La Coruna,Celta Vigo,2.51,3.19,3.05
19 Mar 2017,Gijon,Granada CF,1.91,3.64,4.22
19 Mar 2017,Atl. Madrid,Sevilla,1.58,4.20,5.95
19 Mar 2017,Leganes,Malaga,2.54,3.03,3.19
18 Mar 2017,Betis,Osasuna,1.42,4.68,8.27
18 Mar 2017,Alaves,Real Sociedad,2.61,3.16,2.96
18 Mar 2017,Ath Bilbao,Real Madrid,5.39,4.37,1.61
18 Mar 2017,Eibar,Espanyol,1.89,3.49,4.50
17 Mar 2017,Las Palmas,Villarreal,2.55,3.49,2.77
13 Mar 2017,Osasuna,Eibar,3.92,3.73,1.94
12 Mar 2017,Real Madrid,Betis,1.14,9.26,20.61
12 Mar 2017,Celta Vigo,Villarreal,3.24,3.30,2.34
12 Mar 2017,Dep. La Coruna,Barcelona,10.97,6.18,1.27
12 Mar 2017,Real Sociedad,Ath Bilbao,2.29,3.29,3.38
11 Mar 2017,Granada CF,Atl. Madrid,8.77,4.74,1.40
11 Mar 2017,Malaga,Alaves,1.92,3.35,4.58
11 Mar 2017,Sevilla,Leganes,1.54,4.17,6.71
11 Mar 2017,Valencia,Gijon,1.50,4.56,6.70
10 Mar 2017,Espanyol,Las Palmas,2.18,3.43,3.48
08 Mar 2017,Dep. La Coruna,Betis,2.15,3.24,3.79
06 Mar 2017,Alaves,Sevilla,3.80,3.37,2.09
05 Mar 2017,Ath Bilbao,Malaga,1.72,3.80,5.19
05 Mar 2017,Las Palmas,Osasuna,1.47,4.59,7.11
05 Mar 2017,Atl. Madrid,Valencia,1.45,4.51,7.74
05 Mar 2017,Gijon,Dep. La Coruna,2.63,3.26,2.86
04 Mar 2017,Barcelona,Celta Vigo,1.15,9.49,16.63
04 Mar 2017,Villarreal,Espanyol,1.71,3.67,5.56
04 Mar 2017,Eibar,Real Madrid,4.68,4.07,1.73
04 Mar 2017,Leganes,Granada CF,1.90,3.39,4.66
03 Mar 2017,Betis,Real Sociedad,2.53,3.15,3.10
02 Mar 2017,Sevilla,Ath Bilbao,1.62,4.13,5.59
02 Mar 2017,Dep. La Coruna,Atl. Madrid,5.17,3.74,1.73
01 Mar 2017,Celta Vigo,Espanyol,1.90,3.38,4.49
01 Mar 2017,Granada CF,Alaves,2.63,3.14,2.94
01 Mar 2017,Real Madrid,Las Palmas,1.14,9.80,18.40
01 Mar 2017,Barcelona,Gijon,1.06,16.61,35.43
01 Mar 2017,Osasuna,Villarreal,3.77,3.36,2.10
28 Feb 2017,Malaga,Betis,1.85,3.49,4.75
28 Feb 2017,Valencia,Leganes,1.80,3.48,5.16
28 Feb 2017,Real Sociedad,Eibar,1.81,3.58,4.89
26 Feb 2017,Villarreal,Real Madrid,5.68,4.24,1.60
26 Feb 2017,Ath Bilbao,Granada CF,1.50,4.39,7.03
26 Feb 2017,Gijon,Celta Vigo,2.71,3.36,2.69
26 Feb 2017,Atl. Madrid,Barcelona,2.96,3.44,2.45
26 Feb 2017,Espanyol,Osasuna,1.72,3.53,5.69
25 Feb 2017,Eibar,Malaga,1.95,3.55,4.06
25 Feb 2017,Leganes,Dep. La Coruna,2.32,3.04,3.57
25 Feb 2017,Betis,Sevilla,3.67,3.49,2.08
25 Feb 2017,Alaves,Valencia,2.66,3.10,2.95
24 Feb 2017,Las Palmas,Real Sociedad,2.67,3.37,2.72
22 Feb 2017,Valencia,Real Madrid,6.21,4.71,1.51
20 Feb 2017,Malaga,Las Palmas,1.97,3.57,4.01
19 Feb 2017,Barcelona,Leganes,1.09,12.07,27.66
19 Feb 2017,Celta Vigo,Osasuna,1.71,3.73,5.46
19 Feb 2017,Valencia,Ath Bilbao,2.19,3.34,3.57
19 Feb 2017,Real Sociedad,Villarreal,2.10,3.33,3.83
18 Feb 2017,Sevilla,Eibar,1.50,4.55,6.47
18 Feb 2017,Dep. La Coruna,Alaves,2.15,3.16,3.91
18 Feb 2017,Real Madrid,Espanyol,1.19,7.67,15.85
18 Feb 2017,Gijon,Atl. Madrid,6.98,4.21,1.52
17 Feb 2017,Granada CF,Betis,3.00,3.23,2.52
13 Feb 2017,Eibar,Granada CF,1.51,4.37,6.80
12 Feb 2017,Atl. Madrid,Celta Vigo,1.37,4.89,9.51
12 Feb 2017,Las Palmas,Sevilla,3.25,3.61,2.19
12 Feb 2017,Leganes,Gijon,1.80,3.50,5.11
12 Feb 2017,Villarreal,Malaga,1.76,3.62,5.05
11 Feb 2017,Osasuna,Real Madrid,13.11,6.68,1.23
11 Feb 2017,Ath Bilbao,Dep. La Coruna,1.68,3.77,5.69
11 Feb 2017,Alaves,Barcelona,10.36,5.57,1.31
11 Feb 2017,Betis,Valencia,2.50,3.26,3.02
10 Feb 2017,Espanyol,Real Sociedad,2.94,3.18,2.61
06 Feb 2017,Granada CF,Las Palmas,3.07,3.41,2.39
05 Feb 2017,Real Sociedad,Osasuna,1.38,4.92,9.03
05 Feb 2017,Gijon,Alaves,2.26,3.21,3.52
05 Feb 2017,Sevilla,Villarreal,1.62,4.14,5.56
04 Feb 2017,Valencia,Eibar,1.86,3.72,4.34
04 Feb 2017,Atl. Madrid,Leganes,1.30,5.12,13.50
04 Feb 2017,Barcelona,Ath Bilbao,1.28,6.13,10.88
04 Feb 2017,Malaga,Espanyol,2.10,3.42,3.73
30 Jan 2017,Las Palmas,Valencia,2.70,3.41,2.68
29 Jan 2017,Real Madrid,Real Sociedad,1.32,5.74,9.08
29 Jan 2017,Ath Bilbao,Gijon,1.35,5.18,9.70
29 Jan 2017,Espanyol,Sevilla,3.46,3.44,2.17
29 Jan 2017,Betis,Barcelona,11.14,6.11,1.28
28 Jan 2017,Leganes,Celta Vigo,2.24,3.13,3.68
28 Jan 2017,Eibar,Dep. La Coruna,2.28,3.27,3.40
28 Jan 2017,Alaves,Atl. Madrid,6.50,3.61,1.64
28 Jan 2017,Villarreal,Granada CF,1.36,4.93,9.58
27 Jan 2017,Osasuna,Malaga,3.17,3.34,2.36
22 Jan 2017,Eibar,Barcelona,9.91,5.99,1.30
22 Jan 2017,Betis,Gijon,1.70,3.75,5.47
22 Jan 2017,Real Sociedad,Celta Vigo,1.66,3.92,5.54
22 Jan 2017,Ath Bilbao,Atl. Madrid,3.89,3.19,2.14
22 Jan 2017,Osasuna,Sevilla,6.26,4.25,1.55
21 Jan 2017,Villarreal,Valencia,2.10,3.32,3.82
21 Jan 2017,Alaves,Leganes,2.32,2.97,3.69
21 Jan 2017,Real Madrid,Malaga,1.14,9.43,18.86
21 Jan 2017,Espanyol,Granada CF,1.62,3.85,6.23
20 Jan 2017,Las Palmas,Dep. La Coruna,2.35,3.31,3.21
16 Jan 2017,Malaga,Real Sociedad,2.29,3.38,3.23
15 Jan 2017,Sevilla,Real Madrid,3.38,3.84,2.07
15 Jan 2017,Gijon,Eibar,2.92,3.26,2.56
15 Jan 2017,Granada CF,Osasuna,1.98,3.49,3.99
15 Jan 2017,Celta Vigo,Alaves,1.81,3.52,4.92
15 Jan 2017,Valencia,Espanyol,1.85,3.63,4.51
14 Jan 2017,Dep. La Coruna,Villarreal,2.85,3.15,2.69
14 Jan 2017,Atl. Madrid,Betis,1.25,5.92,14.16
14 Jan 2017,Barcelona,Las Palmas,1.11,10.79,22.79
14 Jan 2017,Leganes,Ath Bilbao,3.54,3.17,2.27
09 Jan 2017,Osasuna,Valencia,4.02,3.65,1.93
08 Jan 2017,Villarreal,Barcelona,6.36,4.64,1.50
08 Jan 2017,Celta Vigo,Malaga,1.94,3.57,4.11
08 Jan 2017,Betis,Leganes,2.21,3.10,3.79
08 Jan 2017,Ath Bilbao,Alaves,1.58,3.96,6.61
07 Jan 2017,Real Sociedad,Sevilla,2.47,3.43,2.93
07 Jan 2017,Las Palmas,Gijon,1.58,4.13,6.09
07 Jan 2017,Eibar,Atl. Madrid,5.47,3.65,1.72
07 Jan 2017,Real Madrid,Granada CF,1.06,14.37,34.62
06 Jan 2017,Espanyol,Dep. La Coruna,2.18,3.17,3.77
19 Dec 2016,Ath Bilbao,Celta Vigo,1.80,3.77,4.59
18 Dec 2016,Barcelona,Espanyol,1.11,10.42,24.64
18 Dec 2016,Dep. La Coruna,Osasuna,1.53,4.15,6.98
18 Dec 2016,Leganes,Eibar,2.46,3.09,3.27
17 Dec 2016,Sevilla,Malaga,1.53,4.49,6.23
17 Dec 2016,Granada CF,Real Sociedad,3.78,3.52,2.05
17 Dec 2016,Atl. Madrid,Las Palmas,1.26,5.97,12.71
17 Dec 2016,Gijon,Villarreal,3.69,3.26,2.17
16 Dec 2016,Alaves,Betis,2.36,3.08,3.45
12 Dec 2016,Villarreal,Atl. Madrid,4.43,3.26,1.97
11 Dec 2016,Betis,Ath Bilbao,3.36,3.19,2.34
11 Dec 2016,Espanyol,Gijon,1.76,3.54,5.34
11 Dec 2016,Celta Vigo,Sevilla,2.70,3.42,2.67
11 Dec 2016,Eibar,Alaves,1.93,3.42,4.36
10 Dec 2016,Real Madrid,Dep. La Coruna,1.21,6.95,14.46
10 Dec 2016,Las Palmas,Leganes,1.80,3.54,4.95
10 Dec 2016,Real Sociedad,Valencia,1.90,3.71,4.08
10 Dec 2016,Osasuna,Barcelona,21.68,9.21,1.13
09 Dec 2016,Malaga,Granada CF,1.66,4.00,5.39
05 Dec 2016,Dep. La Coruna,Real Sociedad,3.24,3.31,2.33
04 Dec 2016,Valencia,Malaga,1.62,4.18,5.47
04 Dec 2016,Alaves,Las Palmas,2.38,3.29,3.20
04 Dec 2016,Gijon,Osasuna,1.87,3.47,4.62
04 Dec 2016,Ath Bilbao,Eibar,1.87,3.42,4.77
04 Dec 2016,Betis,Celta Vigo,2.64,3.25,2.86
03 Dec 2016,Atl. Madrid,Espanyol,1.26,5.71,13.60
03 Dec 2016,Leganes,Villarreal,3.14,2.97,2.60
03 Dec 2016,Barcelona,Real Madrid,1.73,4.39,4.34
03 Dec 2016,Granada CF,Sevilla,5.07,3.91,1.71
28 Nov 2016,Las Palmas,Ath Bilbao,2.83,3.28,2.63
27 Nov 2016,Real Sociedad,Barcelona,6.30,4.85,1.48
27 Nov 2016,Celta Vigo,Granada CF,1.62,3.94,5.99
27 Nov 2016,Osasuna,Atl. Madrid,11.21,5.07,1.32
27 Nov 2016,Villarreal,Alaves,1.54,3.93,7.41
26 Nov 2016,Sevilla,Valencia,1.77,3.89,4.62
26 Nov 2016,Espanyol,Leganes,1.98,3.23,4.48
26 Nov 2016,Real Madrid,Gijon,1.09,12.22,27.30
26 Nov 2016,Malaga,Dep. La Coruna,1.91,3.50,4.39
25 Nov 2016,Eibar,Betis,2.03,3.36,4.05
21 Nov 2016,Leganes,Osasuna,1.90,3.42,4.54
20 Nov 2016,Ath Bilbao,Villarreal,2.16,3.23,3.76
20 Nov 2016,Gijon,Real Sociedad,3.65,3.41,2.12
20 Nov 2016,Valencia,Granada CF,1.40,5.00,8.04
20 Nov 2016,Alaves,Espanyol,2.62,3.05,3.04
19 Nov 2016,Atl. Madrid,Real Madrid,2.44,3.32,3.09
